IDEN;Density_gPcm3;Hue;Value;Chroma;Alox_mgPkg;Caox_mgPkg;Feox_mgPkg;Mnox_mgPkg;Pox_mgPkg;Siox_mgPkg
651;0.96;2.5Y;5;3;1806.04466521739;17.7718640608696;5501.77644673913;224.197306065217;678.559237391304;432.461650717391
653;0.976666666666667;;;;;;;;;
654;1.08;;;;;;;;;
655;0.956666666666667;;;;;;;;;
656;0.883333333333333;;;;;;;;;
657;0.926666666666667;;;;;;;;;
658;0.916666666666667;;;;;;;;;
659;1.12666666666667;;;;;;;;;
660;0.876666666666667;;;;;;;;;
661;1.06333333333333;;;;;;;;;
662;1.01333333333333;;;;;;;;;
663;1.09333333333333;2.5Y;5;3;938.194437083333;30.62076161875;2881.017416875;104.008166041667;298.156663208333;193.80359225
664;0.786666666666667;2.5Y;6;2;2063.64320875817;39.8326759058823;3167.96266441176;73.2436524705882;800.674022156863;657.943330392157
665;0.996666666666667;2.5Y;6;2;2678.72397856209;40.2379573627451;7258.31226176471;414.082315490196;626.045399019608;777.538976862745
666;1.12;;;;;;;;;
667;1.04;;;;;;;;;
668;1.05;;;;;;;;;
669;0.996666666666667;;;;;;;;;
672;1.16666666666667;;;;;;;;;
673;1.05333333333333;;;;;;;;;
674;1.02666666666667;;;;;;;;;
675;0.95;;;;;;;;;
677;1.21333333333333;;;;;;;;;
679;1.03333333333333;;;;;;;;;
680;0.98;;;;;;;;;
683;1.06333333333333;2.5Y;5.5;3;1199.0693492517;46.3991195918367;1952.45636367347;114.121483326531;289.198562326531;377.277659020408
686;1.04666666666667;;;;;;;;;
688;0.876666666666667;2.5Y;5;3;2463.0505888;46.18696706;5697.739931;213.80753266;635.6264782;758.857192
689;0.853333333333333;2.5Y;5;2;2835.37350666667;38.5187862755102;4689.64877857143;268.031488510204;524.983447346939;965.64978755102
694;0.866666666666667;2.5Y;6;3;1682.49204965986;41.8475882734694;4139.87805204082;263.516054265306;242.848554897959;571.432619183674
697;0.96;;;;937.2654088;22.755622578;2791.9626527;115.44404694;394.19543188;187.77829086
698;0.706666666666667;2.5Y;6;2;1342.16144194444;36.1971243479167;5341.95181354167;202.596072625;932.955421041667;642.6928225
700;0.79;2.5Y;6;2;1381.32921703704;42.7618706851852;5432.27982777778;107.62595637037;723.217184444444;479.039265555555
702;0.89;2.5Y;6;3;2363.66992104575;42.1646555490196;6487.28545392157;381.005664529412;885.980734509804;403.802377843137
705;0.923333333333333;2.5Y;5;3;2527.2001836;36.553907846;5786.523406;284.1305005;602.1097552;567.0650372
706;0.913333333333333;2.5Y;5;4;2047.7912164;37.274573074;5864.111806;258.11800162;457.93708;564.5596948
707;0.846666666666667;2.5Y;6;2;2520.99976;45.8333079583333;4788.71212395833;109.175915625;632.171254375;977.81437625
710;1.00;2.5Y;5;2;2430.09253861635;31.4460418849057;2239.56184783019;79.3492374339622;435.446351698113;597.855162264151
711;0.956666666666667;2.5Y;5;2;2156.40521186667;36.238007258;2162.7745704;97.72016698;375.40084228;502.034981
713;0.95;2.5Y;5;3;1953.9228445283;41.804164509434;3257.90851264151;114.463702641509;620.212273584906;434.833268113208
714;1.01;2.5Y;5;3;1897.17746085106;47.8168917446809;2907.72916638298;110.828520191489;647.097604680851;401.279941276596
715;1.01;10YR;5;2;1995.42232666667;44.707754754717;3164.3325354717;105.759192566038;557.596900188679;459.038637169811
717;0.896666666666667;2.5Y;5.5;1;3257.66847049383;34.0858652537037;4792.77733425926;122.252883962963;607.350426111111;1535.10668203704
718;0.913333333333333;5Y;6;1;3073.99414065359;37.0944031235294;4580.0695;132.688592941176;559.092521372549;1540.68266764706
719;0.976666666666667;2.5Y;6;3;2630.79043061224;41.0181185693878;7312.65210102041;378.53030377551;974.002953265306;466.931390816327
720;0.986666666666667;2.5Y;6;3;2383.14970653846;40.8420512134615;7579.35543269231;421.637515769231;937.5475275;457.122549230769
721;0.97;2.5Y;6;2;2361.22297972222;42.9777247645833;7147.53491145833;467.163261041667;872.160690416667;475.5108275
722;0.93;2.5Y;6;3;2389.27450320513;38.2740565192308;7040.109575;401.532423846154;896.731593461539;485.410394230769
723;0.976666666666667;2.5Y;6;2;2807.94872792453;38.7085668981132;9375.93551509434;1014.02928283019;1055.76104603774;621.079356792453
724;0.953333333333333;2.5Y;5.5;2;2820.76284367347;42.8774376653061;6524.87116530612;308.173013877551;961.824965918367;540.17141244898
737;1.00333333333333;2.5Y;5;3;2892.14867929078;38.4926568361702;5959.73199042553;316.969380276596;557.810620851064;722.683645106383
740;0.94;2.5Y;5;3;2973.67444617284;34.0759162407407;6942.2020712963;339.1933225;613.607803888889;739.332312407407
743;0.836666666666667;2.5Y;6;3;2168.81969411765;38.328480654902;6900.75269411765;442.050568039216;511.606074117647;630.705676666667
744;0.973333333333333;2.5Y;6;3;2424.87299220126;38.4023853603774;7699.98780943396;409.273175849057;566.789480943396;694.555057169811
745;0.953333333333333;2.5Y;6;3;2227.92147049383;36.8587587388889;6963.78021574074;395.91125537037;657.881440925926;664.40551962963
746;0.946666666666667;2.5Y;5;3;2669.07068871795;36.9749453442308;7713.27970192308;325.991237961539;722.660970961538;752.642367884615
747;0.966666666666667;2.5Y;5;3;2116.5318288;41.88422178;6666.033121;530.890109;555.7838808;679.082713
748;0.946666666666667;2.5Y;6;3;2013.81695790123;17.5402007203704;5906.42181481481;588.862966296296;406.041754074074;581.016887777778
749;1.13;;;;;;;;;
750;1.11333333333333;;;;;;;;;
751;1.12333333333333;10YR;4;3;5410.69881768708;20.6106957040816;2701.17458852551;52.5924527755102;848.201646122449;1216.47991856939
752;1.03;;;;;;;;;
753;1.01333333333333;;;;;;;;;
754;1.06;;;;;;;;;
755;1.05;;;;;;;;;
756;1.06333333333333;10YR;4;3;5303.25616666667;17.9900153884615;3365.69142966827;73.4418513269231;714.308445384615;1226.80108403654
757;1.07666666666667;;;;;;;;;
758;1.08333333333333;;;;;;;;;
759;1.11666666666667;;;;;;;;;
760;1.24333333333333;;;;;;;;;
761;1.21;10YR;4;4;5902.812136;18.616755082;4301.381403155;42.0335626;806.0072596;1142.117822198
762;1.18666666666667;10YR;4;4;6084.78351698113;20.9415756018868;4439.28688693868;40.4770239056604;746.510985849057;1141.83630113019
763;1.24333333333333;10YR;4;4;4118.28118027211;15.7844446428571;2639.54783444388;33.416705444898;573.540229387755;885.932133059184
764;1.05;;;;;;;;;
765;1.03;;;;7369.8468212766;25.4337561829787;6813.47000867553;61.9911643404255;948.510390212766;1257.28898552979
766;1.11;10YR;4;4;8529.1975620915;22.8967228745098;7763.55348446568;87.7796905686274;1126.57260058824;1393.08964646863
767;1.18333333333333;;;;;;;;;
768;1.27666666666667;;;;;;;;;
769;1.23666666666667;;;;;;;;;
770;1.14666666666667;;;;;;;;;
771;1.12;10YR;4;4;;;;;;
772;1.02333333333333;;;;;;;;;
773;1.08333333333333;10YR;4;4;7391.20650972222;33.9063985458333;6901.54199703646;93.5003975416667;1690.05953208333;1500.73273208125
774;1.07666666666667;;;;;;;;;
775;1.10333333333333;;;;;;;;;
776;1.16;10YR;4;4;5952.35898205128;20.0647432923077;5928.58905014904;61.5257851153846;1500.97139442308;1079.00049365192
777;1.21;10YR;4;4;4257.85533202614;20.9145225529412;4354.42181289706;45.0626157058823;1048.31656568627;940.821912547059
778;1.12666666666667;;;;;;;;;
779;1.12333333333333;;;;;;;;;
780;1.21333333333333;;;;;;;;;
781;1.15666666666667;;;;;;;;;
782;1.00;2.5Y;5;3;2315.61821503268;21.2304620686274;6545.48640211274;138.193861490196;699.204681372549;477.737773331373
783;1.06;;;;;;;;;
784;1.02666666666667;;;;;;;;;
785;1.09666666666667;;;;;;;;;
786;1.01666666666667;;;;;;;;;
787;0.996666666666667;;;;;;;;;
788;0.91;;;;;;;;;
789;1.00;2.5Y;5;3;2279.03439527778;22.40169116875;4374.99536370312;49.7662868125;875.585399375;474.745141664583
790;1.02;2.5Y;5;3;2248.0862874359;14.0399623173077;6280.48606745673;65.6429674230769;847.460281346154;405.315199998077
791;0.98;2.5Y;5;3;2198.84089686275;14.5785069196078;6012.6597697598;80.1646925882353;812.718441176471;376.636989919608
792;0.993333333333333;;;;;;;;;
794;0.916666666666667;2.5Y;5;3;;;;;;
795;0.95;;;;;;;;;
796;1.00333333333333;2.5Y;5;3;2841.02187385621;20.1556413196078;8187.44065701471;182.067742509804;853.103445098039;593.590932154902
799;0.936666666666667;2.5Y;5;3;1919.81225455782;17.821841322449;6407.46631954592;101.341444857143;854.838628979592;414.119503467347
800;0.966666666666667;;;;;;;;;
802;0.993333333333333;;;;;;;;;
803;1.14666666666667;;;;;;;;;
804;0.973333333333333;10YR;4;4;8120.31624305556;36.58867520625;9180.17093349479;145.9210429375;1630.40844020833;1534.18547708125
805;0.983333333333333;10YR;4;4;8585.28054901961;46.8478313431373;9475.95245407353;151.371669039216;2013.09229745098;1637.83332156667
806;1.06;;;;;;;;;
807;1.09666666666667;;;;;;;;;
808;1.07333333333333;;;;;;;;;
809;1.04666666666667;;;;;;;;;
810;0.966666666666667;;;;4721.45993205128;13.5260996769231;3757.37094582212;63.2489998461538;1000.59962615385;710.135810959615
811;1.04;;;;;;;;;
812;1.11;;;;;;;;;
813;0.98;;;;;;;;;
814;1.13666666666667;;;;4721.0746;8.10143796037736;3066.68914212736;48.4938882075472;726.609718867925;952.264452450943
815;1.24333333333333;;;;;;;;;
816;1.06;;;;;;;;;
817;1.2;;;;;;;;;
818;1.13333333333333;10YR;4;4;7193.02650972222;45.97043359375;5667.65150120313;107.082504604167;954.517164583333;1587.36602208125
819;1.08333333333333;;;;;;;;;
820;1.17;;;;;;;;;
821;1.02;;;;;;;;;
822;1.16;;;;;;;;;
823;1.16;;;;;;;;;
824;1.18666666666667;10YR;4;4;6609.89614444444;32.3040183259259;5921.48611588426;118.448380592593;1197.42594444444;1302.56148981296
825;1.07666666666667;;;;;;;;;
826;1.12;;;;;;;;;
827;1.11;;;;;;;;;
828;0.983333333333333;;;;;;;;;
829;0.973333333333333;10YR;4;4;8346.01285490196;31.9907299823529;8083.17948544608;257.386403490196;1008.54815823529;1897.61080372353
830;0.99;;;;;;;;;
831;0.95;;;;;;;;;
832;1.03333333333333;;;;;;;;;
833;0.933333333333333;;;;;;;;;
834;0.956666666666667;;;;;;;;;
835;1.02;;;;;;;;;
836;1.06666666666667;10YR;4;4;;;;;;
837;1.05333333333333;;;;;;;;;
838;1.04333333333333;;;;;;;;;
839;1.02333333333333;10YR;4;4;8660.031932;29.353872068;8330.185891155;126.29366074;1758.6826628;1639.077525998
840;1.13;10YR;4;4;8835.01682266667;37.740056504;9911.747839155;154.30991744;1918.9204214;1681.175125198
841;0.96;;;;7305.92388679245;48.9844921792453;6226.06750297641;224.417549339623;1531.02969075472;1506.92613263962
842;0.936666666666667;;;;7219.43705679012;43.62074375;6242.59951773611;235.359071555556;1412.80572333333;1518.66909185
843;0.973333333333333;;;;7643.12958589744;32.1430031230769;6685.78944245673;217.303349442308;1555.69994596154;1560.65643788269
844;1.07666666666667;;;;7418.84744081633;32.5975190714286;6623.64831138265;192.667640959184;1436.78649816327;1498.84343999796
845;0.99;2.5Y;4;4;7385.39483396226;43.6256655566038;6790.67873410849;180.297529830189;1660.83293830189;1489.36426075283
846;1.1;;;;7156.04701851852;24.9945652481481;6606.94341773611;156.478557166667;1162.40081518519;1710.19269981296
847;0.996666666666667;;;;7785.22331866667;45.28100271;6923.741583155;146.86591268;1344.7595994;1707.727254598
848;1.00333333333333;;;;6482.59177232704;25.093325754717;5502.98954448585;138.747162188679;1080.74829358491;1394.70386339434
849;1.01666666666667;;;;7186.73118974359;37.4156787596154;5827.29010687981;168.185866134615;1222.69596807692;1602.09032172885
850;0.99;;;;7992.15627320261;48.7665673627451;6828.05674721078;283.016322745098;1417.27922215686;1700.5791449
851;1.03666666666667;2.5Y;4;4;7313.25285986395;36.1889705816327;6295.45406444388;161.148373612245;1408.30460265306;1458.67959571224
852;0.98;10YR;4;4;7386.539172;34.047151006;7186.546745155;233.78204986;1670.2959264;1595.266236798
853;0.97;;;;;;;;;
854;1.00;;;;;;;;;
855;0.97;;;;;;;;;
856;0.943333333333333;;;;;;;;;
857;1.02;;;;;;;;;
858;1.01333333333333;;;;;;;;;
859;1.01666666666667;;;;;;;;;
860;1.00333333333333;;;;;;;;;
861;0.976666666666667;;;;;;;;;
862;0.973333333333333;10YR;4;4;7302.63930612245;33.5677405673469;8224.30210934183;184.072488102041;1573.25383061225;1597.31272020204
863;1.00666666666667;;;;6895.16418666667;29.728824722;6359.583327155;99.8266756;1473.7662798;1414.566988998
864;1.02666666666667;10YR;4;4;7230.72311698113;18.7427147264151;6658.83022939151;188.217033037736;1454.54524679245;1522.98381716792
865;1.05;;;;7398.63881851852;27.0793347222222;6948.74795477315;182.673878611111;1542.39119;1556.38794185
866;1.03666666666667;;;;;;;;;
867;1.00;;;;;;;;;
868;1.08333333333333;10YR;4;4;;;;;;
869;1.05;;;;;;;;;
870;0.996666666666667;;;;;;;;;
871;1.02666666666667;;;;;;;;;
872;1.02;;;;;;;;;
873;1.09666666666667;;;;;;;;;
874;1.00333333333333;;;;;;;;;
875;1.05;;;;;;;;;
876;1.00;;;;;;;;;
877;0.986666666666667;;;;;;;;;
878;1.05333333333333;;;;;;;;;
879;1.00333333333333;;;;;;;;;
880;0.986666666666667;;;;;;;;;
881;0.976666666666667;10YR;4;4;6886.5222051282;28.5947184384615;6825.26023957212;143.043537692308;1246.97170826923;1425.37857249808
882;0.98;;;;;;;;;
883;1.00666666666667;;;;;;;;;
884;1.01;10YR;4;4;6137.15477551021;27.8445240081633;5491.07414403571;162.518279367347;913.069783469388;1396.22734305918
885;1.02;;;;;;;;;
886;1.02666666666667;;;;;;;;;
889;0.963333333333333;7.5YR;5;3;2746.00013006536;4.94697297254902;4302.09238054412;499.510128039216;1036.84773960784;316.697289684314
890;1.01333333333333;;;;;;;;;
891;0.91;;;;;;;;;
892;0.88;;;;;;;;;
893;0.95;;;;;;;;;
894;0.903333333333333;;;;;;;;;
895;0.93;;;;;;;;;
896;0.95;;;;;;;;;
897;0.913333333333333;;;;;;;;;
898;0.853333333333333;;;;8384.60714557823;45.2559929489796;3108.89730219898;41.8970329346939;555.752245918367;2337.32986020204
899;0.913333333333333;;;;7078.96461904762;32.6062515979592;2833.26528434184;34.935018377551;489.06994244898;1997.59076305918
900;0.973333333333333;;;;6691.00251333333;41.95762541;3433.412708355;45.81044998;477.4544064;1810.819588598
901;0.93;;;;;;;;;
902;0.983333333333333;;;;;;;;;
903;0.973333333333333;;;;;;;;;
904;0.87;;;;;;;;;
905;0.816666666666667;;;;;;;;;
906;0.993333333333333;;;;;;;;;
907;1.04333333333333;;;;;;;;;
908;0.853333333333333;;;;;;;;;
909;0.893333333333333;;;;;;;;;
910;0.906666666666667;;;;6602.67214968553;43.2664463679245;4593.47439071226;53.351678509434;544.060123207547;1780.37884226226
911;0.963333333333333;;;;6372.55429115646;28.372499277551;5144.50323587245;74.5861381632653;655.627590816327;1786.16384142653
912;0.853333333333333;;;;7480.41433472222;30.24734695625;6116.08038974479;88.7652918958333;662.254045625;2024.95015833125
913;0.906666666666667;;;;;;;;;
914;0.966666666666667;;;;;;;;;
915;0.916666666666667;;;;;;;;;
916;0.903333333333333;;;;;;;;;
917;0.97;;;;;;;;;
918;0.866666666666667;;;;;;;;;
919;1.01;;;;5614.16806666667;30.773302486;3580.293780555;41.157585672;394.24881796;1482.414627798
920;1.00;;;;;;;;;
921;0.843333333333333;;;;;;;;;
922;0.873333333333333;;;;;;;;;
923;0.87;;;;;;;;;
924;0.893333333333333;2.5Y;5;4;;;;;;
925;0.833333333333333;2.5Y;5;4;;;;;;
926;0.91;2.5Y;5;3;;;;;;
927;0.93;;;;;;;;;
928;0.933333333333333;;;;;;;;;
929;0.826666666666667;;;;;;;;;
930;0.893333333333333;;;;;;;;;
931;0.9;;;;;;;;;
932;0.9;2.5Y;4;3;6902.05980384615;38.1813730423077;3475.29638630288;82.9785906538462;1262.4034775;1304.26123615192
933;0.913333333333333;2.5Y;4;3;6045.49680272109;35.9142214755102;3153.06589138265;71.0843924897959;1022.6250044898;1125.02998020204
934;0.89;2.5Y;4;3;6200.7372474359;34.6964899403846;3036.02391764904;57.1603778461538;802.009702115385;1267.093488075
943;0.98;;;;;;;;;
944;1.00333333333333;;;;;;;;;
945;1.01333333333333;;;;;;;;;
954;0.993333333333333;;;;;;;;;
955;0.953333333333333;;;;;;;;;
956;0.946666666666667;;;;;;;;;
965;0.89;;;;;;;;;
966;0.896666666666667;;;;;;;;;
967;0.83;;;;;;;;;
976;0.866666666666667;;;;;;;;;
977;0.933333333333333;;;;;;;;;
978;0.846666666666667;;;;;;;;;
980;0.81;;;;;;;;;
984;0.876666666666667;;;;;;;;;
987;0.84;;;;;;;;;
990;0.953333333333333;;;;;;;;;
1001;0.956666666666667;;;;;;;;;
1002;0.913333333333333;;;;;;;;;
1003;0.946666666666667;;;;;;;;;
1012;0.983333333333333;;;;;;;;;
1013;0.943333333333333;;;;;;;;;
1014;0.92;;;;;;;;;
1023;0.9;;;;;;;;;
1026;0.97;;;;;;;;;
1029;0.95;;;;;;;;;
1030;0.993333333333333;;;;;;;;;
1031;1.01;;;;;;;;;
1040;0.92;;;;;;;;;
1041;0.926666666666667;;;;;;;;;
1042;0.85;;;;;;;;;
1051;0.933333333333333;;;;;;;;;
1052;0.94;;;;;;;;;
1053;0.926666666666667;;;;;;;;;
1062;0.886666666666667;;;;;;;;;
1063;0.883333333333333;;;;;;;;;
1064;0.886666666666667;;;;;;;;;
1073;0.983333333333333;;;;;;;;;
1076;0.843333333333333;10YR;4;4;6947.20693043478;;9261.17589473369;150.251356108696;1490.92764934783;1349.16743260652
1085;0.936666666666667;;;;;;;;;
1086;0.916666666666667;;;;;;;;;
1087;0.916666666666667;;;;;;;;;
1096;0.886666666666667;;;;;;;;;
1097;0.956666666666667;;;;;;;;;
1098;0.936666666666667;;;;;;;;;
1107;0.87;;;;;;;;;
1108;0.896666666666667;;;;;;;;;
1109;0.98;;;;;;;;;
1110;0.91;;;;;;;;;
1119;0.873333333333333;;;;;;;;;
1120;0.856666666666667;;;;;;;;;
1121;0.85;;;;;;;;;
1122;0.856666666666667;2.5Y;6;4;7820.29280136055;32.1436856693878;4486.45030117857;60.3252899591837;754.257043061225;2308.90422305918
1131;0.913333333333333;;;;;;;;;
1134;0.943333333333333;2.5Y;3;3;1129.85705111111;27.3403195254902;4883.10628544608;96.2453389411765;221.118816235294;271.747042488235
1137;0.893333333333333;2.5Y;3;3;1046.37756706667;22.511315938;4326.682985155;79.77931124;224.27320164;208.184038418
1140;0.976666666666667;2.5Y;5;4;2315.44438307692;16.2356105826923;2613.68956130288;53.9369653076923;437.921737692308;535.998481151923
1142;1.00;2.5Y;4;4;5851.69506666667;25.5813347415094;3172.00595118396;95.7044964716981;620.999066226415;1762.65156999811
1143;0.996666666666667;;;;;;;;;
1145;0.733333333333333;;;;;;;;;
1147;0.88;;;;;;;;;
1149;0.88;;;;;;;;;
1151;0.803333333333333;;;;;;;;;
1153;0.876666666666667;;;;;;;;;
1155;0.83;;;;;;;;;
1157;1.05666666666667;;;;;;;;;
1175;0.983333333333333;;;;;;;;;
1176;1.05;;;;;;;;;
1191;0.98;;;;;;;;;
1192;0.98;;;;;;;;;
1207;1.04666666666667;;;;;;;;;
1209;0.966666666666667;;;;;;;;;
1211;1.02666666666667;;;;;;;;;
1213;0.923333333333333;;;;5656.28317333333;34.206381512;3441.3505399;66.3177567;960.1587888;1125.4201572
1215;0.953333333333333;;;;6563.9733836478;34.5398748924528;5002.2114009434;83.3131176226415;1063.46562;1387.68834698113
1229;0.856666666666667;;;;6091.20341466667;27.508375964;3155.404556455;68.69218804;755.8928868;1375.415683998
1231;0.986666666666667;10YR;4;4;5639.7662974359;33.5964875057692;5150.26457995673;88.9822953461538;1018.25789057692;1165.47467788269
1233;0.946666666666667;;;;;;;;;
1235;0.826666666666667;;;;;;;;;
1237;0.923333333333333;;;;;;;;;
1255;1.01666666666667;10YR;4;4;;;;;;
1257;0.876666666666667;;;;;;;;;
1259;0.886666666666667;;;;;;;;;
1261;0.866666666666667;;;;;;;;;
1263;0.853333333333333;;;;;;;;;
1281;0.816666666666667;;;;;;;;;
1283;0.89;;;;;;;;;
1285;0.74;;;;;;;;;
1287;0.78;;;;;;;;;
1289;0.833333333333333;;;;;;;;;
1307;0.833333333333333;;;;;;;;;
1309;0.743333333333333;;;;;;;;;
1333;0.666666666666667;;;;;;;;;
1335;0.713333333333333;;;;;;;;;
1337;0.846666666666667;;;;;;;;;
1338;0.823333333333333;;;;;;;;;
1339;0.8;;;;;;;;;
1340;0.843333333333333;;;;;;;;;
1341;0.916666666666667;;;;;;;;;
1342;0.903333333333333;;;;;;;;;
1343;1.28666666666667;10YR;5;4;2313.80729882353;23.2415194686274;1375.68782279902;29.8495385843137;458.244725294118;585.987211762745
1345;1.18666666666667;10YR;;;3540.28730769231;22.5654560596154;2080.09844476442;39.4873494615385;665.429759423077;895.881564036538
1347;1.14666666666667;2.5Y;4;4;4928.22521410256;34.4605656634615;3130.86027072596;52.0692137307692;1097.50288788462;1030.89281884423
1365;0.843333333333333;;;;;;;;;
1367;0.89;;;;;;;;;
1369;0.903333333333333;;;;;;;;;
1387;0.866666666666667;;;;;;;;;
1389;0.946666666666667;;;;;;;;;
1391;0.996666666666667;;;;;;;;;
1409;0.97;;;;;;;;;
1410;0.963333333333333;;;;;;;;;
1411;0.946666666666667;;;;;;;;;
1412;0.953333333333333;;;;;;;;;
1413;0.916666666666667;;;;;;;;;
1414;0.946666666666667;;;;;;;;;
1415;0.97;;;;;;;;;
1417;0.94;;;;;;;;;
1419;0.91;;;;;;;;;
1437;0.883333333333333;;;;;;;;;
1439;0.913333333333333;;;;;;;;;
1441;1.04;;;;;;;;;
1459;1.00;;;;;;;;;
1461;0.926666666666667;;;;;;;;;
1463;0.94;;;;;;;;;
1481;0.913333333333333;;;;;;;;;
1483;0.946666666666667;;;;;;;;;
1485;0.92;;;;;;;;;
1503;0.916666666666667;;;;;;;;;
1504;0.9;;;;;;;;;
1505;0.923333333333333;;;;;;;;;
1506;0.923333333333333;;;;;;;;;
1507;0.953333333333333;;;;;;;;;
1508;1.03333333333333;;;;;;;;;
1509;0.793333333333333;;;;;;;;;
1533;0.716666666666667;;;;;;;;;
1555;0.786666666666667;;;;;;;;;
1577;0.826666666666667;;;;;;;;;
1599;0.9;;;;;;;;;
1602;1.00333333333333;;;;;;;;;
1605;1.12333333333333;2.5Y;;;2620.95814526928;16.6256880431373;5476.1570168902;377.679136066569;547.349856598039;359.165353595098
1606;1.06333333333333;;;;;;;;;
1607;1.15;;;;;;;;;
1608;1.304;;;;;;;;;
1609;1.277;2.5Y;4;4;8859.00525578231;89.7473393367347;7860.96091342347;143.596655408163;1348.27907122449;1764.79448877347
1610;1.143;2.5Y;6;2;1316.10996609929;39.3939948617021;5587.83283527128;105.044742978723;781.124834042553;527.442017444681
1611;1.143;2.5Y;6;2;1309.32060745098;37.3998548137255;5956.33027270098;102.793344686274;818.644891960784;540.250199998039
1612;0.9745;2.5Y;5;3;2737.6141477551;52.5204708265306;4648.67133587245;48.8464366326531;818.284090408163;461.332421018367
1613;0.9795;2.5Y;5;3;2859.00782993711;49.5357200471698;3542.75873929717;36.8763318679245;882.436600188679;476.460446790566
1736;1.214;2.5Y;6;3;3353.35846562041;26.6027683714286;9020.5562308449;424.884431436633;809.813054214286;333.067295252041
1737;1.463;2.5Y;5;3;15303.5314144618;35.02594798;2391.73204929818;77.8164751708182;643.447538845454;5786.06682726091
1739;1.3415;2.5Y;5;3;;;;;;
1741;1.229;2.5Y;5;3;7599.60601865417;80.0527345604167;6119.01866169583;175.736942758229;3722.81010284375;1543.52114061146
1742;1.2545;10YR;5;2;2229.10055012821;34.159453724359;1131.49408935321;180.196713673077;406.602462480769;347.684147721154
1743;1.226;10YR;5;3;3526.37805843137;14.2444691320261;1770.17268625621;454.506807843137;1144.84411566667;408.732741323529
1744;1.307;7.5YR;4;3;3108.6947154717;10.2768110641509;1559.35241508302;662.130120188679;960.485381301887;372.087665330189
1745;1.0545;2.5Y;5;3;3734.37228296296;14.4527407802469;1874.28163309753;188.827353888889;909.42336387037;592.467652546296
1746;1.457;10YR;4;4;4941.96957437021;57.4900535510638;8128.9649768383;209.673385753085;538.816329287234;832.459036794681
1747;1.5535;2.5Y;4;6;8406.13046102592;42.3705845907407;7548.63776595185;79.7215405073148;730.961390490741;1749.02941461759
1749;1.364;2.5Y;5;2;545.146335007843;15.1038257803922;771.8037564;20.5816488057843;161.263982009804;60.7021022029412
1750;1.4665;2.5Y;5;3;1701.2182601102;26.1472445306122;2628.16183176326;85.9386533958163;775.760110540816;242.554620660204
1751;1.507;2.5Y;5;3;2940.87022914231;21.1803380057692;3219.6886532;168.248873122981;1206.41581281731;478.089755564423
1752;1.4345;2.5Y;5;2;1303.46701912549;22.3552575686275;809.027183360784;11.4243216293137;279.483468676471;195.850916653922
1753;1.1785;2.5Y;7;3;3618.6617275817;24.6034786784314;8853.83469328921;288.40920272549;876.340206078431;336.178752272549
1754;1.3705;10YR;5;3;6201.89756853726;29.9013207431373;4052.03156787059;85.285521517549;676.791509343137;1771.1561223402
1756;1.09;2.5Y;7;1;;;;;;
1757;;2.5Y;7;1;1731.96107987179;31.5096199788462;4247.1743366875;212.528351634615;292.385189596154;378.324130786538
1758;;5Y;6;1;2078.21077388889;;3012.39525120833;175.067465964167;917.799477583542;1189.11111299167
1759;1.136;5Y;7;1;;;;;;
1760;;5Y;7;1;2100.73262503145;37.1314008396226;4144.45789825943;216.045964075472;502.496472264151;832.901900375472
1761;;2.5Y;5;3;2220.71252025157;19.8072354893082;1120.12652968553;741.64811490566;455.036830735849;374.941230707547
1773;1.257;;;;;;;;;
1774;1.2745;;;;;;;;;
1775;1.2255;;;;;;;;;
1776;1.172;;;;;;;;;
1777;1.2065;;;;;;;;;
1778;1.198;;;;;;;;;
1779;1.263;;;;;;;;;
1780;1.2375;;;;;;;;;
1781;1.16;;;;;;;;;
1782;1.0735;;;;;;;;;
1783;1.2625;;;;3228.82413016795;47.8897392865385;12430.7576463731;86.0161269499038;907.417834740385;436.519281910577
1784;1.03;;;;;;;;;
1785;1.383;;;;;;;;;
1786;1.082;;;;;;;;;
1787;1.1665;;;;;;;;;
1788;1.243;;;;;;;;;
1789;1.1685;;;;1491.83818868025;20.7358787018519;4428.51426595185;191.860493877685;428.109726046296;603.989989247222
1790;1.2175;;;;2737.31960106538;21.3607843153846;8737.50837233462;574.339075199904;752.454266086538;621.220136141346
1791;1.091;;;;;;;;;
1792;1.1595;;;;;;;;;
1793;1.149;;;;;;;;;
1794;1.225;;;;;;;;;
1795;1.078;;;;;;;;;
1796;1.081;;;;;;;;;
1797;1.2065;;;;;;;;;
1798;1.001;;;;;;;;;
1799;1.244;;;;;;;;;
1800;1.1615;;;;;;;;;
1801;1.164;;;;;;;;;
1802;1.1725;;;;;;;;;
1954;;;;;;;;;;
2208;;;;;4073.41484924133;30.186335238;5056.786994228;26.6095442879;558.44009453;757.965771987
2209;;;;;4429.89398494014;36.3177846714286;4893.52777166122;32.6215458937755;614.035134826531;759.94106692551
2210;;;;;3749.12716142264;26.928710154717;4836.39624549811;29.4259152036792;486.928381443396;703.124576214151
2211;;;;;3776.27044304706;27.7801022098039;5305.81914728235;20.2021929391176;496.815253656863;842.437315281373
2212;;;;;3951.63913455033;38.6109992137255;6082.67482375294;32.9039164979412;530.766331696079;855.274065869608
2213;;;;;4236.56277899477;30.8725339784314;5422.49885316471;29.8572139293137;414.711590911765;831.201495673529
