IDEN;Density_gPcm3;Hue;Value;Chroma;Alox_mgPkg;Caox_mgPkg;Feox_mgPkg;Mnox_mgPkg;Pox_mgPkg;Siox_mgPkg
117;;2.5Y;5;3;3230.51937221923;28.320368325;6667.15804733461;101.737604296058;578.198012817308;431.076625372115
118;;;;;;;;;;
119;;;;;;;;;;
120;;;;;;;;;;
121;;2.5Y;5;2;3191.64553463019;19.7280570283019;2708.18386181887;187.398634347075;631.627187669811;659.635694516038
122;;2.5Y;5;2;2982.24072775294;25.3469412764706;8070.47679336078;428.967396478333;584.242411696078;566.300783516667
125;;2.5Y;5;3;900.899224974667;24.434882668;2614.414063628;161.7645979479;299.85522175;312.333846907
126;;2.5Y;5;2;2159.75194521225;34.4910127530612;6827.82044513061;357.635994599898;300.589591010204;445.674516721429
127;1.3645;2.5Y;5;3;1344.61899485309;27.9038997388889;3244.35370206296;146.677548748056;740.43389012037;192.105223062037
128;1.255;2.5Y;5;3;1104.5988913103;21.5319693963636;2983.83444875273;207.811896570818;584.122153936363;369.155029442727
129;;2.5Y;5;3;1633.57886132179;25.7812545173077;3426.29156166154;523.626388469135;463.009911855769;361.4709879875
130;1.33;;;;1041.2620640141;29.494388075;2943.46973781538;344.390326296058;751.918798009615;316.479347564423
131;1.2505;2.5Y;4;3;2342.36800312075;20.4797857584906;4433.30822851698;526.526370573491;827.239169367924;542.378150553774
132;1.134;2.5Y;5;2;4483.40175545972;30.8221589145833;5216.45571690417;377.397466758229;709.95281034375;955.852978736458
192;1.371;;;;;;;;;
194;1.2165;;;;;;;;;
195;1.095;10YR;5.5;3;2792.19961157233;19.2301935238994;6666.14863905792;304.245615696415;782.619849883019;242.081356339623
196;1.124;2.5Y;5;3;2484.34922026667;21.1700972933333;8238.8425164014;237.2328437382;619.253270476;211.89935784
197;1.1565;2.5Y;5;3;3061.51716598639;24.0437898482993;8050.80116061367;247.142608324694;764.323994771429;226.069897979592
198;1.225;2.5Y;5;3;3324.79735251701;23.3130486367347;8068.54583587245;151.934311265306;979.667480408163;294.448577406122
236;1.295;10YR;5;3;3544.23364218182;29.6876222145454;5181.51165909091;865.215006909091;1008.05782363636;287.500539999636
243;1.46;2.5Y;5;4;3274.37322819444;39.0297935416667;5420.73189166667;138.5418318125;962.718664375;430.11857272875
244;1.311;2.5Y;5;4;8353.5375877551;38.9785732428571;10619.7361688367;401.954620107755;2096.46650416347;1379.28548374694
246;1.399;;5;3;3605.58589728395;41.5380975641975;3964.47999203833;78.4920877946296;640.417848959259;416.719247462963
247;1.263;2.5Y;6;1;1350.55933578231;33.1512690897959;2020.49038602041;86.5717400612245;365.99368544898;125.180414611837
248;1.363;2.5Y;6;3;3335.05339805556;27.7307012638889;3785.01767625146;80.5414730189583;256.883496704167;618.1662056875
249;1.1535;;;;;;;;;
250;1.206;2.5Y;7;2;1321.04717813333;21.4364002;2727.3109632;165.3702404;333.4311494;189.2546114596
