IDEN;IDEN.2;;Method;Texture;;Sable;Limon;Argile;Argile Catherine;Limon grossier;Limon moyen;Limon fin;1-2 mm;0.5-1.0 mm;0.25-0.5 mm;0.1-0.25 mm;0.05-0.01 mm;Sable fractionnement
38;38;;2;loam sableux;;71;27,2;1,8;;;;;;;;;;
39;39;;2;loam sableux;;62,6;35,7;1,7;;;;;;;;;;
40;40;;2;loam sableux;;71;27,2;1,8;;;;;;;;;;
41;41;;2;loam sableux;;71;27,2;1,8;;;;;;;;;;
42;42;;2;loam sableux;;48,5;45,4;6,1;;;;;;;;;;
43;43;;2;loam sableux;;68,6;29;2,4;;;;;;;;;;
44;44;;2;loam sableux;;66,2;31,2;2,6;;;;;;;;;;
45;45;;2;sable loameux;;82,6;13,5;3,9;;;;;;;;;;
46;46;;2;loam limoneux;;31,9;58,3;9,8;;;;;;;;;;
47;47;;2;loam sableux;;66,4;31;2,6;;;;;;;;;;
48;48;;2;sable loameux;;81,6;15,3;3,1;;;;;;;;;;
49;49;;2;Argile;;34,9;21,2;44;;3,932255819;7,089161767;10,13256816;;;;;;
50;50;;2;Loam argileux;;25,6;36,8;37,7;;7,984605502;12,6413059;16,14407977;;;;;;
51;51;;2;Loam sablo-argileux;;53,3;23,8;22,9;;5,951531653;9,840270777;8,034820828;;;;;;
52;52;;2;Sable loameux;;73,2;25,2;1,6;;15,3;5,3;4,6;;;;;;
53;53;;2;Sable loameux;;84,5;10,7;4,9;;3;5,3;2,4;;;;;;
54;54;;2;Loam sableux;;73;19,8;7,3;;7,6;7,1;5,1;;;;;;
55;55;;2;Loam;;37,9;44,1;18;;8;18,2;17,9;;;;;;
56;56;;2;Loam;;29,4;48,5;22,2;;16,5;18,3;13,6;;;;;;
57;57;;2;Loam sableux;;60;26,7;13,3;;14,4;8;4,3;;;;;;
58;58;;2;Loam limoneux;;13;69,6;17,4;;18,8;30,1;20,6;;;;;;
59;59;;2;Loam;;44,1;40,3;15,7;;13,2;18,3;8,8;;;;;;
60;60;;2;Loam sableux;;66,6;27,8;5,6;;14,9;7,1;5,7;;;;;;
61;61;;2;Sable;;87,6;9,2;3,2;;3,9;5,3;0;;;;;;
62;62;;2;Argile;;29,8 ;25,9 ;44,3 ;;20,6;12,9;2,5;;;;;;
63;63;;2;Loam sableux;;73,9 ;17,9 ;8,1 ;;7,6 ;7,1 ;3,2 ;;;;;;
64;64;;2;Loam sableux;;74,5 ;19,6 ;5,9 ;;5,8;4,3;1,5;;;;;;
65;;;;;;;;;;17,3;8,9;4,1;;;;;;
65,01;65,01;;;;;;;;;;;;;;;;;
65,02;65,02;;;;;;;;;;;;;;;;;
65,03;65,03;;;;;;;;;;;;;;;;;
65,04;65,04;;2;Loam;;43,40824717;38,28414196;18,30761087;;13,09352201;16,2370151;8,953604843;;;;;;
66;66;;2;Argile limoneuse;;4,907850704;51,35084146;43,74130784;;10,3;7,1;2,8;;;;;;
66,01;66,01;;;;;;;;;;;;;;;;;
66,02;66,02;;;;;;;;;;;;;;;;;
66,03;66,03;;;;;;;;;;;;;;;;;
66,04;66,04;;;;;;;;;;;;;;;;;
66,05;66,05;;;;;;;;;;;;;;;;;
66,06;66,06;;;;;;;;;;;;;;;;;
66,07;66,07;;;;;;;;;;;;;;;;;
66,08;66,08;;;;;;;;;;;;;;;;;
67;;;2;;;;;;;23;21,6;8,7;;;;;;
67,01;67,01;;;;;;;;;;;;;;;;;
67,02;67,02;;;;;;;;;;;;;;;;;
67,03;67,03;;2;Loam;;33,84280808;45,07304423;21,08414769;;16,39869669;18,14886684;10,5254807;;;;;;
68;;;2;;;;;;;24,4;21,7;7,8;;;;;;
68,01;68,01;;;;;;;;;;;;;;;;;
68,02;68,02;;;;;;;;;;;;;;;;;
68,03;68,03;;;;;;;;;;;;;;;;;
68,04;68,04;;2;Loam sableux;;61,89198418;20,79741319;17,31060263;;8,670139057;8,866898697;3,260375436;;;;;;
68,1;68,1;;2;Loam sableux;;60,44256492;30,05489354;9,502541539;;11,66690223;13,23027824;5,15771308;5,823332678;6,629942947;14,97147354;22,89986229;7,711981114;58,03659256
68,1;68,1;;5;Loam sableux;;64,77987409;21,88720089;13,33292502;;8,756936081;9,775171591;3,355093219;10,43582567;11,8552579;2,798880448;27,5089964;8,396641343;60,99560176
68,1;;;;;;;;;;;;;;;;;;
68,2;68,2;;5;Loam sableux;;60,76987427;24,4300986;14,80002713;;9,77976626;10,67556603;3,974766311;0,917797287;3,471667997;13,94652833;28,79090184;11,2330407;58,35993615
68,2;68,2;;2;Loam sableux;;66,74791541;24,28381417;8,968270422;;7,960062407;12,49846874;3,82528302;6,636018389;8,674795123;16,33020188;22,82630422;6,695982411;61,16330202
68,2;68,3;;5;Loam sableux;;59,88068547;23,57577695;16,54353757;;9,537551003;10,35201262;3,686213332;10,21713843;12,3303606;3,935633967;25,1454052;7,561070182;59,18960838
68,3;68,3;;2;Loam sableux;;66,07219439;26,65249779;7,275307817;;10,69553192;11,55196154;4,405004338;6,859421735;9,312063809;16,63010967;21,89431705;6,420737787;61,11665005
68,3;;;;;;;;;;;;;;;;;;
68,3;;;;;;;;;;;;;;;;;;
68,4;68,4;;;;;;;;;;;;;;;;;
69;69;;2;Sable loameux;;83,0 ;13,6 ;3,4 ;;19;9,5;4,2;;;;;;
70;70;;2;Loam limoneux;;10,5 ;70,8 ;18,7 ;;12,5;7,8;3,2;;;;;;
71;71;;2;Argile limoneuse;;13,6 ;44,0 ;42,4 ;;14,9;10,7;3,1;;;;;;
72;72;;2;Loam sableux;;55,9 ;39,5 ;4,6 ;;14,6;15,4;9,2;;;;;;
73;73;;2;Sable loameux;;77,0 ;17,3 ;5,6 ;;14,8;12,1;20,2;;;;;;
74;74;;2;Sable loameux;;77,1 ;17,3 ;5,6 ;;16,6;17,2;13,7;;;;;;
75;75;;2;Loam;;29,7 ;47,4 ;22,9 ;;16,5;19;12,8;;;;;;
76;76;;2;Loam;;42,3 ;36,2 ;21,5 ;;10,9;4,2;2,6;;;;;;
77;77;;2;loam sableux;;59,2;37,4;3,4;;3,8;1,5;1,7;;;;;;
78;78;;2;loam sableux;;60,5;36,4;3,0;;2,9;0;1,2;;;;;;
79;79;;2;loam sableux;;53,7;44,6;1,7;;9,6;5,3;4,8;;;;;;
80;80;;2;loam sableux;;60,7;36,5;2,8;;6,1;3,2;3;;;;;;
81;81;;2;loam sableux;;52,9;45,4;1,7;;15,7;16,5;15,2;;;;;;
82;82;;2;loam sableux;;48,6;48,0;3,4;;5,4;4,2;1,6;;;;;;
82,3;82,3;;;;;;;;;;;;;;;;;
83;83;;2;Loam;;31,3;47,6;21,1;;4,9;3,4;1,6;;;;;;
84;84;;2;Argile;;31,1;24,6;44,3;;6,5;4,4;1,4;;;;;;
85;85;;2;Loam argileux;;27,9;33,0;39,1;;4,8;2,6;1,4;;;;;;
86;86;;2;Argile;;35,3;18,0;46,7;;7,2;5,4;1,9;;;;;;
87;87;;2;Loam sableux;;59,3;23,9;16,8;;7,3;5,4;1,7;;;;;;
88;88;;2;Sable loameux;;78,3;14,0;7,7;;4,7;2,8;1,4;;;;;;
89;89;;2;Loam sableux;;67,3;19,5;13,1;;8,8;5,5;3,2;;;;;;
90;90;;2;Loam sableux;;60,7;23,6;15,6;;6,4;5,3;2,7;;;;;;
91;91;;2;Loam sableux;;62,6;24,2;13,1;;6,4;5,3;2;;;;;;
92;92;;2;Loam limoneux;;38,0 ;54,9 ;7,1 ;;5,8;5,2;1,7;;;;;;
93;93;;2;Loam sableux;;51,4 ;43,3 ;5,2 ;;8,3;14,2;5,4;;;;;;
94;94;;2;Loam limoneux;;42,7 ;54,7 ;2,6 ;;9,2;17,1;6,8;;;;;;
95;95;;2;Sable ;;88,5;6,9;4,6;;2,8;3,5;0,5;;;;;;
96;96;;2;Sable loameux;;80,52164623;14,53958082;4,938772947;;5,139479894;7,035955582;2,364145345;;;;;;
