IDEN;IDEN.2;;Method;Texture;;Sable;Limon;Argile;Argile Catherine;Limon grossier;Limon moyen;Limon fin;1-2 mm;0.5-1.0 mm;0.25-0.5 mm;0.1-0.25 mm;0.05-0.01 mm;Sable fractionnement
1484;1877;;0;argile;;12,7;31,3;56;;;;;;;;;;
1485;1878;;0;argile;;21,3;31,5;47,2;;;;;;;;;;
1486;1879;;0;argile;;33,4;24;42,6;;;;;;;;;;
1487;1880;;0;argile;;30,7;28,6;40,6;;;;;;;;;;
1488;1881;;0;argile;;17,8;34,9;47,3;;;;;;;;;;
1489;1882;;0;argile;;21;31,8;47,2;;;;;;;;;;
1490;1883;;0;argile limoneuse;;3,3;48,8;47,9;;;;;;;;;;
1491;1884;;1;loam argileux;;26,5;34,7;38,8;;;;;;;;;;
1492;1885;;0;loam argileux;;30,9;30,5;38,5;;;;;;;;;;
1493;1886;;0;loam argileux;;40,1;29,3;30,6;;;;;;;;;;
1494;1887;;0;loam sableux-argileux;;55,3;23;21,7;;;;;;;;;;
1495;1888;;1;loam sableux-argileux;;47,9;25,7;26,4;;;;;;;;;;
1496;1889;;0;loam sableux-argileux;;45,1;26,4;28,4;;;;;;;;;;
1497;1890;;0;loam argileux;;43;26,2;30,8;;;;;;;;;;
1498;1891;;0;loam argileux;;32;33,7;34,3;;;;;;;;;;
1499;1892;;0;loam argileux;;39,4;32;28,6;;;;;;;;;;
1500;1893;;0;argile;;11,8;35,8;52,4;;;;;;;;;;
1501;1894;;0;argile;;29,5;19,1;51,4;;;;;;;;;;
1502;1895;;1;argile lourde;;4,6;30,7;64,7;;;;;;;;;;
1503;1896;;0;argile lourde;;9,8;28,1;62,1;;;;;;;;;;
1504;1897;;1;argile;;25,3;30,7;44;;;;;;;;;;
1505;1898;;0;argile;;30,3;23,5;46,2;;;;;;;;;;
1506;1899;;0;loam argileux;;28,6;38,7;32,7;;;;;;;;;;
1507;1900;;0;argile;;24;29,9;46,1;;;;;;;;;;
1508;1901;;0;loam argileux;;26,5;34,7;38,7;;;;;;;;;;
1509;1902;;1;loam argileux;;28,6;38,7;32,7;;;;;;;;;;
1510;1903;;0;loam argileux;;26,8;35,8;37,5;;;;;;;;;;
1511;1904;;0;loam argileux;;31;36,6;32,4;;;;;;;;;;
1512;1905;;0;loam limoneux-argileux;;10,1;54,1;35,8;;;;;;;;;;
1513;1906;;0;loam argileux;;28,5;38,7;32,8;;;;;;;;;;
1514;1907;;0;argile;;24,4;33;42,6;;;;;;;;;;
1515;1908;;0;argile lourde;;0,4;26,6;73;;;;;;;;;;
1516;1909;;0;loam argileux;;30,9;38,7;30,4;;;;;;;;;;
1517;1910;;0;argile;;25,2;29,4;45,5;;;;;;;;;;
1518;1911;;0;argile lourde;;4,1;31,7;64,3;;;;;;;;;;
1519;1912;;0;loam argileux;;32,5;36,7;30,8;;;;;;;;;;
1520;1913;;0;loam argileux;;32,1;37,7;30,2;;;;;;;;;;
1521;1914;;0;argile lourde;;5,2;33,1;61,8;;;;;;;;;;
1522;1915;;0;argile;;16;25,2;58,8;;;;;;;;;;
1523;1916;;0;argile lourde;;4;19,9;76,1;;;;;;;;;;
1524;1917;;0;argile lourde;;5,9;20,8;73,3;;;;;;;;;;
1525;1918;;2;Argile;;12,11722056;36,09126362;51,79151582;;6,976547258;14,31878338;14,79593298;;;;;;
1526;1918;;2;Argile;;16;39,2;44,8;;6,7;17,3;15,2;;;;;;
1527;1918;;0;argile lourde;;17,3;21,5;61,2;;;;;0,7;1,12;2,1;4,18;4,66;12,76
1528;1919;;0;loam argileux;;33,1;32,2;34,7;;;;;0,52;1,22;2,05;3,27;4;11,05955143
1529;1920;;0;argile;;12,5;39,2;48,3;;;;;;;;;;
1530;1921;;0;loam argileux;;24,9;36,1;39;;;;;;;;;;
1531;1922;;0;loam sableux;;53,3;38,6;8,2;;;;;;;;;;
1532;1923;;1;loam argileux;;38,2;31,6;30,1;;;;;;;;;;
1533;1924;;0;loam argileux;;33,3;32,9;33,8;;;;;;;;;;
1534;1925;;0;loam sableux;;57,3;26,2;16,6;;;;;;;;;;
1535;1926;;0;loam;;47,2;29,4;23,4;;;;;;;;;;
1536;1927;;0;loam;;42,7;33,2;24,1;;;;;;;;;;
1537;1928;;0;loam sableux;;57,4;24,4;18,3;;;;;;;;;;
1538;1929;;0;loam argileux;;26,2;35,1;38,7;;;;;;;;;;
1539;1930;;0;loam sableux-argileux;;46,1;23,8;30,2;;;;;;;;;;
1540;1931;;0;argile limoneuse;;0,3;42,7;57;;;;;;;;;;
1541;1932;;0;argile;;25,3;31,1;43,6;;;;;;;;;;
1542;1933;;0;argile lourde;;15,9;18;66,2;;;;;;;;;;
1543;1934;;0;argile limoneuse;;5,8;45,2;49;;;;;;;;;;
1544;1935;;0;argile;;10,3;30,2;59,5;;;;;;;;;;
1545;1936;;0;argile lourde;;10,6;17,2;72,2;;;;;;;;;;
1546;1937;;0;argile lourde;;1,3;25,1;73,5;;;;;;;;;;
1547;1938;;0;argile limoneuse;;2,4;47,4;50,2;;;;;;;;;;
1548;1939;;1;argile;;15,6;29,6;54,8;;;;;;;;;;
1549;1940;;0;argile lourde;;5;18,8;76,2;;;;;;;;;;
1550;1941;;0;argile;;1,6;38,4;59,9;;;;;;;;;;
1551;1942;;0;argile;;16;33,9;50,1;;;;;;;;;;
1552;1943;;0;sable;;92,9;4,3;2,8;;;;;;;;;;
1553;1944;;0;sable;;90,6;3,1;6,3;;;;;;;;;;
1554;1945;;0;loam sableux;;72,6;10,3;17,2;;;;;;;;;;
1555;1946;;0;loam sableux;;72,4;13,8;13,8;;;;;;;;;;
1556;1947;;0;loam sableux;;74,2;16,1;9,7;;;;;;;;;;
1557;1948;;0;sable loameux;;83,6;7,8;8,6;;;;;;;;;;
1558;1949;;0;loam sableux;;66;16,2;17,8;;;;;;;;;;
1559;1950;;0;loam sableux;;65,5;22;12,5;;;;;;;;;;
1560;1951;;0;loam sableux-argileux;;57,4;22,1;20,5;;;;;;;;;;
1561;1952;;0;loam sableux;;59,1;21,3;19,6;;;;;;;;;;
1562;1953;;0;loam sableux;;59,4;27,6;13;;;;;;;;;;
1563;1954;;0;loam sableux-argileux;;57,6;19,6;22,8;;;;;;;;;;
1564;1954;;2;Loam sableux;;60,66131809;22,49485133;16,84383059;;10,75301975;7,263581203;4,478250378;;;;;;
1565;1954;;2;Loam sableux;;60,7;22,5;16,8;;10,8;7,3;4,5;;;;;;
1566;1955;;0;loam sableux-argileux;;55,8;21,6;22,5;;;;;0,058354406;0,311223497;0,622446995;33,38844583;26,11359658;60,4940673
1567;1956;;0;loam sableux;;53,4;32,5;14,1;;;;;0,06;0,31;0,62;33,39;26,11;60,4940673
1568;1957;;0;loam;;51,9;29,6;18,5;;;;;;;;;;
1569;1958;;0;loam sableux;;67,7;12,4;19,9;;;;;;;;;;
1570;1959;;0;loam;;46;36;18;;;;;;;;;;
1571;1960;;0;loam sableux;;58,9;26,9;14,2;;;;;;;;;;
1572;1961;;0;argile lourde;;14,8;25,2;60,1;;;;;;;;;;
1573;1962;;0;loam sableux;;74,1;15,2;10,7;;;;;;;;;;
1574;1963;;0;loam sableux;;52,1;29,9;18;;;;;;;;;;
1575;1964;;0;argile lourde;;8,5;29,9;61,6;;;;;;;;;;
1576;1965;;0;loam;;46,7;42,8;10,5;;;;;;;;;;
1577;1966;;0;loam;;50,4;31,4;18,2;;;;;;;;;;
1578;1967;;0;loam;;47,1;31,2;21,7;;;;;;;;;;
1579;1968;;0;argile lourde;;2,9;13,2;83,9;;;;;;;;;;
1580;1969;;0;loam;;48,1;31,9;26,3;;;;;;;;;;
1581;1970;;0;loam sablo-argileux;;45,8;27,9;20;;;;;;;;;;
1582;1971;;0;loam;;44,5;29,5;26;;;;;;;;;;
1583;1972;;0;argile limoneuse;;1,4;44;54,6;;;;;;;;;;
1584;1972,1;;1;;;;;;;;;;;;;;;
1585;1973;;0;loam sableux-argileux;;64,2;14,6;21,2;;;;;;;;;;
1586;1974;;0;loam sableux;;70,7;15,3;14;;;;;;;;;;
1587;1975;;1;loam sableux;;70,7;16;13,3;;;;;;;;;;
1588;1976;;0;sable loameux;;83,1;8,2;8,8;;;;;;;;;;
1589;1977;;0;loam sableux;;77,9;10,5;11,6;;;;;;;;;;
1590;1978;;0;sable loameux;;80,1;11,7;8,2;;;;;;;;;;
1591;1979;;1;loam sableux;;68,4;14;17,6;;;;;;;;;;
1592;1980;;0;loam sableux;;75,4;11,1;13,5;;;;;;;;;;
1593;1981;;0;loam sableux;;80,2;9,3;10,5;;;;;;;;;;
1594;1982;;0;loam sableux;;77,9;11,1;11,1;;;;;;;;;;
1595;1983;;0;loam sableux;;75,9;12,9;11,2;;;;;;;;;;
1596;1984;;0;loam sableux;;70,7;11,7;17,6;;;;;;;;;;
1597;1985;;0;loam sableux;;77,1;10,6;12,3;;;;;;;;;;
1598;1986;;0;loam sableux;;69,4;13,3;17,3;;;;;;;;;;
1599;1987;;0;loam sableux;;68,9;14,7;16,4;;;;;;;;;;
1600;1988;;0;loam sableux;;76,6;12,3;11,1;;;;;;;;;;
1601;1989;;0;loam sableux;;76,5;11,7;11,7;;;;;;;;;;
1602;1990;;0;loam sableux;;77;13,5;9,4;;;;;;;;;;
1603;1991;;0;loam sableux;;73,2;15,2;11,7;;;;;;;;;;
1604;1992;;0;loam sableux;;73,5;16,5;10;;;;;;;;;;
1605;1993;;0;loam sableux;;66,3;18,6;15,1;;;;;;;;;;
1606;1994;;0;loam sableux;;65,5;21,9;12,6;;;;;;;;;;
1607;1995;;0;loam sableux;;63,4;24;12,6;;;;;;;;;;
1608;1996;;0;loam sableux-argileux;;54,1;11,8;34,1;;;;;;;;;;
1608,001;1997;;0;loam sableux;;53;28,4;18,5;;;;;;;;;;
1608,002;1998;;0;loam sableux;;55,3;27,6;17,1;;;;;;;;;;
1608,003;1999;;0;loam sableux;;56,7;28,7;14,7;;;;;;;;;;
1608,004;2000;;0;loam sableux;;52,2;30,6;17,3;;;;;;;;;;
1608,005;2001;;0;loam sableux;;52,1;29,9;18;;;;;;;;;;
1608,006;2002;;0;loam;;51,5;31,9;16,6;;;;;;;;;;
1608,007;2003;;0;loam;;51,5;33,9;14,6;;;;;;;;;;
1608,008;2004;;0;loam;;49,1;33,7;17,2;;;;;;;;;;
1608,009;2005;;0;loam;;45,4;35,3;19,3;;;;;;;;;;
1608,01;2006;;0;loam;;44,1;34,6;21,3;;;;;;;;;;
1608,011;2007;;0;loam;;43,6;35,2;21,2;;;;;;;;;;
1608,012;2008;;0;loam sableux;;52,9;27,8;19,2;;;;;;;;;;
1608,013;2009;;0;loam;;49,1;32,4;18,5;;;;;;;;;;
1608,014;2010;;0;loam;;44,1;35,9;20;;;;;;;;;;
1608,015;2011;;0;loam;;40,9;35,5;23,7;;;;;;;;;;
1608,016;2012;;0;loam;;37,8;36,4;25,8;;;;;;;;;;
1608,017;2013;;0;loam;;47,3;34,2;18,4;;;;;;;;;;
1608,018;2014;;0;loam;;45,6;34,5;19,9;;;;;;;;;;
1608,019;2015;;0;loam;;47,6;32,8;19,7;;;;;;;;;;
1608,02;2016;;0;loam;;40,8;32,9;26,3;;;;;;;;;;
1608,021;2017;;0;loam;;50,6;30,7;18,7;;;;;;;;;;
1608,022;2018;;0;loam;;46,6;32;21,4;;;;;;;;;;
1608,023;2019;;0;loam;;43,6;33,2;23,2;;;;;;;;;;
1608,024;2020;;0;loam;;46,3;32,5;21,2;;;;;;;;;;
1609;2021;;0;loam;;43,1;31,8;25,1;;;;;;;;;;
1609,01;2022;;0;loam;;47,9;31,7;20,5;;;;;;;;;;
1609,02;2023;;0;loam;;50,8;28,6;20,6;;;;;;;;;;
1609,03;2024;;;;;;;;;;;;;;;;;
1609,04;2025;;0;loam;;47;31,8;21,2;;;;;;;;;;
1609,05;2026;;0;loam;;51,1;29,1;19,8;;;;;;;;;;
1609,06;2027;;0;loam;;46,6;31;22,4;;;;;;;;;;
1609,07;2028;;0;loam;;49,3;31,3;19,3;;;;;;;;;;
1609,08;2029;;0;loam;;42,8;30,7;26,5;;;;;;;;;;
1609,09;2030;;0;loam sableux-argileux;;50,2;26,2;23,6;;;;;;;;;;
1609,1;2031;;0;loam sableux;;54,6;27,3;18;;;;;;;;;;
1609,11;2032;;0;loam;;50,7;30,2;19,1;;;;;;;;;;
1609,12;2033;;0;loam;;48,9;29,9;21,2;;;;;;;;;;
1609,13;2034;;0;loam;;50,8;29,9;19,3;;;;;;;;;;
1609,14;2035;;0;loam;;48;30,6;21,5;;;;;;;;;;
1609,15;2036;;0;loam sableux;;53,5;26,6;19,9;;;;;;;;;;
1609,16;2037;;0;loam;;44,1;30,6;25,3;;;;;;;;;;
1609,17;2038;;0;loam;;50,5;30,4;19,1;;;;;;;;;;
1609,18;2039;;0;loam;;43;31,8;25,2;;;;;;;;;;
1609,19;2040;;0;loam;;42,8;31,9;25,3;;;;;;;;;;
1609,2;2041;;0;loam;;44;31,3;24,7;;;;;;;;;;
1609,21;2042;;0;loam argileux;;40,3;29,8;29,8;;;;;;;;;;
1609,22;2043;;0;loam;;42,4;31,3;26,3;;;;;;;;;;
1609,23;2044;;0;loam;;45,3;31,3;23,3;;;;;;;;;;
1609,24;2045;;0;loam;;47,1;31,8;21,2;;;;;;;;;;
1610;2046;;0;loam;;42,4;31,1;26,5;;;;;;;;;;
1610,01;2047;;0;loam argileux;;40,3;31,8;27,8;;;;;;;;;;
1610,02;2048;;0;loam;;49,6;29,2;21,2;;;;;;;;;;
1610,03;2049;;0;loam;;43;32,5;24,5;;;;;;;;;;
1610,04;2050;;0;loam;;47,7;32,3;20;;;;;;;;;;
1610,05;2051;;0;loam;;44,6;34,3;21,1;;;;;;;;;;
1610,06;2052;;1;loam;;40,5;35,7;23,8;;;;;;;;;;
1610,07;2053;;0;loam argileux;;38,2;34,2;27,6;;;;;;;;;;
1610,08;2054;;0;loam;;41,6;34,5;23,9;;;;;;;;;;
1610,09;2055;;0;loam;;46,7;33,3;20;;;;;;;;;;
1610,1;2056;;0;loam;;48,7;31,3;20;;;;;;;;;;
1610,11;2057;;0;loam;;43,2;34,3;22,4;;;;;;;;;;
1610,12;2058;;0;loam;;48,1;32,6;19,3;;;;;;;;;;
1610,13;2059;;0;loam;;46,7;34,2;19,1;;;;;;;;;;
1610,14;2060;;0;loam;;49,7;32,5;17,9;;;;;;;;;;
1610,15;2061;;0;loam sableux;;53,4;28,6;18;;;;;;;;;;
1610,16;2062;;0;loam sableux;;57,4;28,6;14;;;;;;;;;;
1610,17;2063;;0;loam sableux;;56,1;29,3;14,6;;;;;;;;;;
1610,18;2064;;0;loam sableux;;58,2;24,6;17,3;;;;;;;;;;
1610,19;2065;;0;loam sableux;;62,8;23,9;13,3;;;;;;;;;;
1610,2;2066;;0;loam sableux;;64,4;22,4;13,2;;;;;;;;;;
1610,21;2067;;0;loam sableux;;69,4;17,9;12,6;;;;;;;;;;
1610,22;2068;;0;loam sableux;;71,2;17;11,8;;;;;;;;;;
1610,23;2069;;0;loam sableux;;72,8;15,3;12;;;;;;;;;;
1610,24;2070;;0;loam sableux;;70,1;15,8;14,1;;;;;;;;;;
1611;2071;;0;loam sableux;;69,6;14,6;15,8;;;;;;;;;;
1611,01;2072;;0;loam sableux;;70,7;14,6;14,6;;;;;;;;;;
1611,02;2073;;0;loam sableux;;75,5;12,8;11,7;;;;;;;;;;
1611,03;2074;;0;loam sableux;;72,7;14,6;12,6;;;;;;;;;;
1611,04;2075;;0;loam sableux;;72,4;16,4;11,2;;;;;;;;;;
1611,05;2076;;0;loam sableux;;68,7;13,3;18;;;;;;;;;;
1611,06;2077;;0;loam sableux;;76,5;10,6;12,9;;;;;;;;;;
1611,07;2078;;0;loam sableux;;72,9;14,1;12,9;;;;;;;;;;
1611,08;2079;;0;loam sableux;;72,3;12,7;15;;;;;;;;;;
1611,09;2080;;0;loam sableux;;74,3;13,2;12,5;;;;;;;;;;
1611,1;2081;;0;loam sableux;;79;9,9;11,1;;;;;;;;;;
1611,11;2082;;0;loam sableux;;70,7;14,1;15,3;;;;;;;;;;
1611,12;2083;;0;loam sableux;;75,4;14,6;10;;;;;;;;;;
1611,13;2084;;0;loam sableux;;76,5;12,3;11,2;;;;;;;;;;
1611,14;2085;;0;loam sableux;;76,7;12,2;11,1;;;;;;;;;;
1611,15;2086;;0;loam sableux;;77,2;10,5;12,3;;;;;;;;;;
1611,16;2087;;0;loam sableux;;75,4;12,9;11,7;;;;;;;;;;
1611,17;2088;;0;loam sableux;;74,9;12,2;12,9;;;;;;;;;;
1611,18;2089;;0;loam sableux;;68,3;12,5;19,1;;;;;;;;;;
1611,19;2090;;0;loam;;41,4;32,2;26,4;;;;;;;;;;
1611,2;2091;;0;loam sableux;;72,1;15,3;12,6;;;;;;;;;;
1611,21;2092;;0;sable loameux;;86;8,1;5,9;;;;;;;;;;
1611,22;2093;;0;sable loameux;;84,8;7,6;7,6;;;;;;;;;;
1611,23;2094;;0;sable;;95;2;3;;;;;;;;;;
1611,24;2095;;1;sable loameux;;83,1;9,9;7,1;;;;;;;;;;
1612;2096;;0;sable;;92,4;3,5;4,1;;;;;;;;;;
1612,01;2097;;0;sable;;91,4;3,7;4,9;;;;;;;;;;
1612,02;2098;;0;sable loameux;;85,1;9,9;5;;;;;;;;;;
1612,03;2099;;0;sable;;90,6;6,5;2,9;;;;;;;;;;
1612,04;2100;;0;sable;;90,1;3,7;6,2;;;;;;;;;;
1612,05;2101;;0;loam sableux;;77,9;12,3;9,8;;;;;;;;;;
1612,06;2102;;0;sable;;92,2;3,6;4,3;;;;;;;;;;
1612,07;2103;;0;sable;;95,9;1,4;2,7;;;;;;;;;;
1612,08;2104;;1;loam sableux;;81,9;9;9;;;;;;;;;;
1612,09;2105;;0;sable;;90,7;6,4;2,9;;;;;;;;;;
1612,1;2106;;0;sable;;91,3;2,5;6,2;;;;;;;;;;
1612,11;2107;;1;sable loameux;;85,5;9,9;4,6;;;;;;;;;;
1612,12;2108;;0;sable;;89,2;4,8;6;;;;;;;;;;
1612,13;2109;;0;sable;;96,5;2,1;1,4;;;;;;;;;;
1612,14;2110;;0;sable;;88,1;7,4;4,5;;;;;;;;;;
1612,15;2111;;0;sable;;90,9;5,6;3,5;;;;;;;;;;
1612,16;2112;;0;sable;;90;3,7;6,2;;;;;;;;;;
1612,17;2113;;0;loam sableux;;75,9;14,5;9,7;;;;;;;;;;
1612,18;2114;;0;loam sableux;;77,8;9,9;12,4;;;;;;;;;;
1612,19;2115;;0;loam sableux;;76,5;9,7;13,8;;;;;;;;;;
1612,2;2116;;1;sable loameux;;78,4;14,2;7,5;;;;;;;;;;
1612,21;2117;;1;sable loameux;;83,7;8,5;7,8;;;;;;;;;;
1612,22;2118;;0;sable;;93,7;2,8;3,5;;;;;;;;;;
1612,23;2119;;0;sable loameux;;83,5;8,2;8,2;;;;;;;;;;
1612,24;2120;;1;loam sableux;;77;12,3;10,7;;;;;;;;;;
1613;2121;;0;sable loameux;;82,5;9,5;8;;;;;;;;;;
1613,01;2122;;0;sable loameux;;81,9;8,1;10,1;;;;;;;;;;
1613,02;2123;;1;sable loameux;;80,5;11,9;7,6;;;;;;;;;;
1613,03;2124;;1;sable loameux;;81,7;10,2;8,1;;;;;;;;;;
1613,04;2125;;0;sable loameux;;83,3;10,4;6,3;;;;;;;;;;
1613,05;2126;;0;sable loameux;;83,3;10,7;6,1;;;;;;;;;;
1613,06;2127;;0;loam sableux;;77,7;14,2;8,1;;;;;;;;;;
1613,07;2128;;0;loam sableux;;74,3;15,4;10,3;;;;;;;;;;
1613,08;2129;;1;loam sableux;;71,5;16,9;11,6;;;;;;;;;;
1613,09;2130;;1;loam sableux;;72;14,5;13,5;;;;;;;;;;
1613,1;2131;;0;loam sableux;;74,3;14,4;11,3;;;;;;;;;;
1613,11;2132;;0;sable loameux;;80,4;10,8;8,8;;;;;;;;;;
1613,12;2133;;0;sable loameux;;83,1;9,5;7,4;;;;;;;;;;
1613,13;2134;;0;loam sableux;;76,4;13,4;10,3;;;;;;;;;;
1613,14;2135;;1;loam sableux;;72,4;15,4;12,2;;;;;;;;;;
1613,15;2136;;0;loam sableux;;55;31,8;13,2;;;;;;;;;;
1613,16;2137;;0;loam sableux;;64,3;19,9;15,9;;;;;;;;;;
1613,17;2138;;0;loam sableux;;74,9;11,2;13,9;;;;;;;;;;
1613,18;2139;;0;loam sableux;;71;13,2;15,8;;;;;;;;;;
1613,19;2140;;0;loam sableux;;66,7;20;13,3;;;;;;;;;;
1613,2;2141;;0;loam sableux;;58,1;27,3;14,6;;;;;;;;;;
1613,21;2142;;0;loam sableux;;59;28,4;12,6;;;;;;;;;;
1613,22;2143;;0;loam sableux-argileux;;55,6;23;21,4;;;;;;;;;;
1613,23;2144;;0;loam;;42,2;32,2;25,6;;;;;;;;;;
1613,24;2145;;0;loam sableux;;54,9;25,9;19,3;;;;;;;;;;
1614;2146;;0;loam sableux;;69,6;15,2;15,2;;;;;;;;;;
1615;2147;;0;loam sableux-argileux;;49,2;25,8;25;;;;;;;;;;
1616;2148;;0;loam argileux;;36,7;30,4;32,9;;;;;;;;;;
1617;2149;;0;loam argileux;;32,7;30,8;36,6;;;;;;;;;;
1618;2150;;0;loam argileux;;40;28,3;31,7;;;;;;;;;;
1619;2151;;1;argile;;29,8;29,7;40,5;;;;;;;;;;
1620;2152;;0;loam argileux;;37,9;27,3;34,8;;;;;;;;;;
1621;2153;;0;loam argileux;;31,4;36,1;32,5;;;;;;;;;;
1622;2154;;0;loam argileux;;42,7;29;28,2;;;;;;;;;;
1623;2155;;1;loam argileux;;32,6;28,8;38,7;;;;;;;;;;
1624;2156;;1;loam argileux;;29,8;31,5;38,7;;;;;;;;;;
1625;2157;;1;loam argileux;;30,3;31,7;38;;;;;;;;;;
1626;2158;;0;loam argileux;;32,2;31,4;36,4;;;;;;;;;;
1627;2159;;0;loam argileux;;37,2;27,8;35;;;;;;;;;;
1628;2160;;0;loam argileux;;34,6;30,6;34,8;;;;;;;;;;
1629;2161;;0;loam;;44,6;29,8;25,6;;;;;;;;;;
1630;2162;;0;loam sableux-argileux;;55,7;23,2;21,2;;;;;;;;;;
1631;2163;;0;loam sableux;;64,2;21,9;13,9;;;;;;;;;;
1632;2164;;0;loam sableux;;62,3;23,2;14,6;;;;;;;;;;
1633;2165;;0;loam sableux;;60,1;23,3;16,6;;;;;;;;;;
1634;2166;;0;loam sableux-argileux;;50,9;26,5;22,5;;;;;;;;;;
1635;2167;;0;loam argileux;;40,6;30,5;28,9;;;;;;;;;;
1636;2168;;0;loam sableux-argileux;;41,4;33,8;24,8;;;;;;;;;;
1637;2169;;0;loam;;47;30,5;22,5;;;;;;;;;;
1638;2170;;0;loam sableux;;57,7;27,1;15,2;;;;;;;;;;
1639;2171;;0;loam sableux;;71;16,5;12,5;;;;;;;;;;
1640;2172;;0;loam sableux;;71,8;15,1;13,1;;;;;;;;;;
1641;2173;;0;loam sableux;;73,5;13,3;13,3;;;;;;;;;;
1642;2174;;0;loam sableux;;60,9;20,6;18,6;;;;;;;;;;
1643;2175;;0;loam;;45,6;33,1;21,2;;;;;;;;;;
1644;2176;;0;loam sableux;;60,7;24,9;14,4;;;;;;;;;;
1645;2177;;0;loam sableux;;53,4;29,3;17,3;;;;;;;;;;
1646;2178;;0;loam;;48,9;33,2;17,9;;;;;;;;;;
1647;2179;;0;loam;;35,3;38,2;26,6;;;;;;;;;;
1648;2180;;0;loam;;49;29,8;21,2;;;;;;;;;;
1649;2181;;0;loam argileux;;31,2;39,8;29;;;;;;;;;;
1650;2182;;0;loam;;44,3;31,6;24,1;;;;;;;;;;
1651;2183;;0;loam sableux;;72,2;13,9;13,9;;;;;;;;;;
1652;2184;;0;loam sableux;;65;18,5;16,5;;;;;;;;;;
1653;2185;;0;loam sableux-argileux;;53,7;22,5;23,8;;;;;;;;;;
1654;2186;;0;loam sableux-argileux;;53,5;25,9;20,6;;;;;;;;;;
1655;2187;;0;loam argileux;;42,1;30,6;27,3;;;;;;;;;;
1656;2188;;0;loam argileux;;42;28,2;29,8;;;;;;;;;;
1657;2189;;1;loam argileux;;33,8;31,5;34,8;;;;;;;;;;
1658;2190;;0;loam argileux;;40,2;28,2;31,6;;;;;;;;;;
1659;2191;;0;loam argileux;;41,9;28,2;29,9;;;;;;;;;;
1660;2192;;1;loam argileux;;33,7;30,7;35,6;;;;;;;;;;
1661;2193;;0;loam argileux;;31,4;31,4;37,2;;;;;;;;;;
1662;2194;;0;loam sableux-argileux;;49,5;25,7;24,8;;;;;;;;;;
1663;2195;;1;loam argileux;;35,6;28,1;36,3;;;;;;;;;;
1664;2196;;0;loam argileux;;40,6;23,9;35,5;;;;;;;;;;
1665;2197;;0;loam argileux;;44,8;25,3;29,9;;;;;;;;;;
1666;2198;;0;loam argileux;;39,2;27,9;32,9;;;;;;;;;;
1667;2199;;0;loam;;42,3;31,3;26,4;;;;;;;;;;
1668;2200;;0;loam sableux-argileux;;47,2;23,9;28,8;;;;;;;;;;
1669;2201;;0;loam sableux-argileux;;58,8;18,6;22,6;;;;;;;;;;
1670;2202;;0;loam sableux-argileux;;47,1;24,8;28,1;;;;;;;;;;
1671;2203;;0;loam sableux;;68,7;18;13,3;;;;;;;;;;
1672;2204;;0;loam argileux;;34,7;36,4;28,9;;;;;;;;;;
1673;2205;;0;loam argileux;;29,1;33,5;37,4;;;;;;;;;;
1674;2206;;0;loam argileux;;33,1;37,1;29,7;;;;;;;;;;
1675;2207;;0;loam;;41,9;32,3;25,7;;;;;;;;;;
1676;2208;;2;Loam sableux;;75,2;19;5,8;;11,5;6,1;1,4;;;;;;
1677;2209;;2;Loam sableux;;73,1;19,9;7;;10,1;6,8;3;;;;;;
1678;2210;;2;Loam sableux;;74,2;19,1;6,7;;10,1;6,7;2,3;;;;;;
1679;2211;;2;Sable loameux;;84,2;11,8;4;;5,3;5,3;1,3;;;;;;
1680;2212;;2;Sable loameux;;75,7;19;5,3;;12,7;4,8;1,5;;;;;;
1681;2213;;2;Loam sableux;;73,2;20,3;6,5;;12,4;5,7;2,2;;;;;;
1682;2214;;2;Loam sableux;;75,3;17,4;7,3;;9;6,3;2,1;;;;;;
1683;2215;;2;Loam sableux;;67,2;25,2;7,6;;14,1;7,6;3,4;;;;;;
1684;2216;;2;Loam sableux;;65,2;25,5;9,3;;13,4;9,8;2,3;;;;;;
1685;2217;;2;Sable loameux;;76,2;18,4;5,4;;9,6;6,5;2,2;;;;;;
1686;2218;;2;Loam sableux;;73,7;20,2;6,2;;12,1;5,8;2,2;;;;;;
1687;2219;;2;Sable loameux;;79,3;15,9;4,8;;9,4;4,7;1,8;;;;;;
1688;2220;;2;Sable loameux;;79,1;16,4;4,5;;10,1;4;2,3;;;;;;
1689;2221;;2;Loam sableux;;65,3;28;6,7;;15,4;9,1;3,5;;;;;;
1690;2222;;2;Loam sableux;;71,4;21,4;7,2;;10,1;8;3,2;;;;;;
1691;2223;;2;Loam sableux;;73,63555164;19,69874724;6,665701112;;10,65373663;6,976889555;2,068121058;;;;;;
1692;2224;;2;Loam sableux;;69,13284009;24,3699172;6,497242703;;15,14464104;6,976889555;2,248386604;;;;;;
1693;2225;;2;Sable loameux;;80,8218585;15,46457415;3,713567357;;9,446867208;4,460980652;1,556726285;4,36;13,62;18,35;15,51;13,08;64,92
1694;2226;;2;Loam sableux;;72,46575967;22,48445689;5,049783442;;12,13178761;7,998330693;2,354338586;0,36;0,73;1,49;28,78;27,97;59,33
1695;2227;;2;Sable loameux;;79,42602634;15,09786044;5,476113225;;6,903531032;6,268953221;1,925376184;0,453343408;0,51630777;1,876337993;45,15804055;25,08500189;73,08903161
