IDEN;M0.75;M5;M120;M420;M1440
1023;16.43589999;12.5;8;6.5;3.984460604
1026;15.49690062;11.5;7.5;5.99880024;4.49910018
1029;13.89164517;9.4;5.5;4.465171661;2.976781107
1030;14.47539183;9.5;5.5;3.99321154;3.494060098
1031;14;9.5;6;4.5;3.498950315
1040;15.979227;10.5;6.491560971;4.494157595;2.996105063
1041;15.49225387;9.5;6;4;2.99850075
1042;13.49460216;8.5;5;3.49860056;2.99880048
1051;19.89258007;12.4;7;4.973145017;3.978516014
1052;17.4965007;11.5;7;4.9990002;3.99920016
1053;17.5;12;7;5.5;4.499550045
1062;13.90958768;9.4;6;4.5;3.47739692
1063;14.5;9.5;6;4;2.991921811
1064;14.92834395;10.4;6.5;4.97611465;3.98089172
1073;42.64392324;35.9;26.2;20.35278155;16.47606125
1076;21.3314813;9.4;4.5;2.480404802;1.488242881
1085;29;12;5;3;2.497003596
1086;31.984008;13;5;3.5;2.498750625
1087;29;12.5;5;3.5;1.998600979
1096;29.13267854;10;5;3.329448976;3.329448976
1097;32.99340132;12.5;5.5;3.49930014;2.99940012
1098;28.32389204;12.5;5;3.332222592;3.332222592
1107;39.9;16.6;7.4;4.9;4.30186824
1108;30.86419753;14.9;7.5;5;3.982477101
1109;20;12;6.5;4.5;3.491968473
1110;20.96436059;12.5;6.5;5.989817311;3.494060098
1119;38.98440624;9.5;2;1.99920032;0.49980008
1120;37.45131329;10.5;2;1.498052532;0.499350844
1121;31.5;10.5;2.5;2;0.499950005
1122;40.5;11;2.5;1.5;0.5
1131;19;15;9;8;5.5
1134;23.4741784;18.97912296;12.98571571;7.991209669;6.492857856
1137;24;19;13;11;8.5
1140;13;9.5;5.5;5;4
1142;8.490660274;5.993407252;3.995604835;3.49615423;2.497253022
1143;28.5;22;13.5;11;8.5
1145;31.4402635;22.95638287;12.97534684;9.981036032;6.986725222
1147;30.44519864;22.95867439;13.97484528;11.47933719;8.983829108
1149;37.46253746;28.97102897;16.48351648;12.98701299;9.490509491
1151;35.96044351;26.97033263;14.48406753;11.4873639;7.991209669
1153;35.99280144;27.99440112;15.99680064;12.99740052;9.49810038
1155;34.47586689;26.98111322;14.98950734;11.99160588;8.494054162
1157;25;19;11.5;10;7.5
1175;19.49610078;15.99680064;10.49790042;9.49810038;7.4985003
1176;15.47833034;12.98182544;7.988815658;6.490912722;5.492310765
1191;17.47553425;13.9804274;8.488116637;7.489514679;5.991611744
1192;15.47678482;13.47978033;7.988017973;6.989515726;5.491762356
1207;8.491508492;6.993006993;3.996003996;2.997002997;2.497502498
1209;10.99890011;8.499150085;4.99950005;3.499650035;2.99970003
1211;13.4919048570857;8.4949030581651;4.99700179892065;3.99760143913652;2.99820107935239
1213;53.78486056;35.85657371;15.93625498;22.90836653;6.972111554
