IDEN;No.inventory;Density_gPcm3;WB_perc;LOI_perc;Cactiv_mgPkg;C_perc;N_perc;S_perc
532;09LEP00314;1.15;;;;2.832;;
533;09LEP00400;1.26;;;;2.570333333;;
534;09LEP00402;1.29;;;;1.963;;
535;09LEP00404;1.23;;;;2.5363;;
536;09LEPinc0101;1.14;;;;3.3255;;
537;09LEPinc0102;1.27;;;;3.735;;
538;09LEPinc0103;1.21;;;;2.6635;;
539;09LEPinc0104;1.4;;;;1.0162;;
540;09LEPinc0105;1.21;;;;2.8095;;
541;09LEPinc0106;1.04;;;;4.534;;
542;09LEPinc0107;1.18;;;;3.395;;
543;09LEPinc0108;1.24;;;;1.1495;;
544;09LEPinc0109;1.06;;;;2.9585;;
545;09LEPinc0110;1.21;;;;2.8095;;
546;09LEPinc0111;1.22;;;;2.5515;;
547;09LEPinc0112;1.2;;;;1.9685;;
548;09LEPinc0113;1.21;;;;2.1775;;
549;09LEPinc0114;1.19;;;;2.256;;
550;09LEPinc0115;0.98;;;;3.4015;;
551;10LEP00101;1.49;;;;3.003;;
552;10LEP00102;1.39;;;;3;;
553;10LEP00103;1.52;;;;1.5;;
554;10LEP00104;1.12;;;;4.232;;
555;10LEP00105;1.58;;;;1.469;;
556;10LEP00106;1.43;;;;2.758;;
557;10LEP00107;1.5;;;;3.092;;
558;10LEP00108;1.39;;;;1.51;;
559;10LEP00109;1.56;;;;0.6387;;
560;10LEP00110;1.56;;;;0.8295;;
561;10LEP00111;1.51;;;;0.8986;;
562;10LEP00112;1.52;;;;1.432;;
563;10LEP00113;1.46;;;;2.427;;
564;10LEP00114;1.12;;;;4.663;;
565;10LEP00115;1.06;;;;5.541;;
566;10LEP00116;1.4;;;;1.705;;
567;10LEP00117;1.4;;;;1.815;;
568;10LEP00118;1.29;;;;2.663;;
569;10LEP00119;1.42;;;;1.513;;
570;10LEP00120;1.2;;;;2.822;;
571;10LEP00121;1.45;;;;2.903;;
572;10LEP00122;1.29;;;;2.424;;
573;10LEP00123;1.29;;;;2.918;;
574;10LEP00124;1.36;;;;1.767;;
575;10LEP00125;1.36;;;;1.634;;
576;10LEP00126;1.23;;;;1.71;;
577;10LEP00127;1.26;;;;3.731;;
578;10LEP00128;1.4;;;;2.683;;
579;10LEP00129;1.45;;;;3.602;;
580;10LEP00130;1.52;;;;1.784;;
581;10LEP00131;1.39;;;;2.638;;
582;10LEP00132;1.43;;;;2.07;;
583;10LEP00133;1.55;;;;2.119;;
584;10LEP00134;1.43;;;;0.8902;;
585;10LEP00135;1.54;;;;2.049;;
586;10LEP00136;1.45;;;;3.129;;
587;10LEP00137;1.4;;;;1.203;;
588;10LEP00138;1.4;;;;1.711;;
589;10LEP00139;1.57;;;;0.6505;;
590;10LEP00140;1.53;;;;0.7088;;
591;08LEP00100;1.12;;;;2.8413;;
592;08LEP00102;1.13;;;;2.421;;
593;08LEP00104;1.1;;;;2.307;;
594;08LEP00106;1.25;;;;3.3573;;
595;08LEP00108;1.41;;;;2.6587;;
596;08LEP00110;1.46;;;;2.6113;;
597;08LEP00112;1.42;;;;2.561;;
598;12UL0000;1.2;4;;;2.7635;0.29582;0.0397
599;12UL0001;1.41;1.6;;;1.2252;0.14929;0.0147
600;12UL0002;1.28;1.35;;;1.3888;0.12939;0.0427
601;12UL0003;1.24;3.15;;;2.2269;0.22115;0.0272
602;12UL0004;1.31;2.2;;;1.1599;0.17836;0.0193
603;12UL0005;1.24;2.4;;;1.327;0.20557;0.0181
604;12UL0006;1.28;3.5;;;2.5815;0.21208;0.0206
605;11JG00001;0.93;;;;2.33;;
606;11JG00003;0.98;;;;2.193;;
607;11JG00004;0.95;;;;2.377;;
608;11JG00005;0.96;;;;2.748;;
609;11JG00006;0.9;;;;3.684;;
610;11JG00007;0.89;;;;2.91;;
611;11JG00008;0.88;;;;3.348;;
612;11JG00009;0.89;;;;2.844;;
613;11JG00011;0.95;;;;2.883;;
614;11JG00012;0.71;;;;2.317;;
615;11JG00013;1.05;;;;3.183;;
616;11JG00017;0.97;;;;3.252;;
617;11JG00021;0.93;;;;2.577;;
618;11JG00022;0.71;;;;2.769;;
619;11JG00023;0.89;;;;2.581;;
620;11JG00024;1.04;;;;2.941;;
621;11JG00025;0.99;;;;2.907;;
622;11JG00026;0.98;;;;2.899;;
623;11JG00027;0.78;;;;3.832;;
624;11JG00031;0.85;;;;2.663;;
625;11JG00032;0.98;;;;3.853;;
626;11JG00034;0.98;;;;11.33;;
627;11JG00038;1.01;;;;2.136;;
628;11JG00039;1;;;;2.254;;
629;11JG00042;1.09;;;;2.136;;
630;11JG00043;0.97;;;;13.97;;
631;11JG00044;1.02;;;;2.745;;
632;11JG00045;0.95;;;;3.023;;
633;11JG00046;0.99;;;;2.033;;
634;11JG00052;0.99;;;;2.215;;
635;11JG00053;0.97;;;;5.385;;
636;11JG00057;1;;;;3.669;;
637;11JG00059;1.04;;;;3.433;;
638;11JG00064;1;;;;2.24;;
639;11JG00070;1.03;;;;2.036;;
640;11JG00071;1.06;;;;1.921;;
641;11JG00072;0.99;;;;1.667;;
642;11JG00081;1.03;;;;2.635;;
643;11JG00086;1.12;;;;2.141;;
644;11JG00087;0.96;;;;2.54;;
645;11JG00088;1.05;;;;1.365;;
646;11JG00101;;;;;2.117;;
647;11JG00102;0.93;;;;2.256;;
648;11JG00111;0.93;;;;2.813;;
649;11JG00112;0.85;;;;2.179;;
650;11JG00113;0.88;;;;2.98;;
651;11JG00114;0.96;;;;2.218;;
652;11JG00127;1.04;;;;3.251;;
653;11JG00128;0.98;;;;2.204;;
654;11JG00129;1.08;;;;2.548;;
655;11JG00130;0.96;;;;2.207;;
656;11JG00131;0.88;;;;2.498;;
657;11JG00132;0.93;;;;1.807;;
658;11JG00133;0.92;;;;2.245;;
659;11JG00134;1.13;;;;2.03;;
660;11JG00135;0.88;;;;2.124;;
661;11JG00136;1.06;;;;2.065;;
662;11JG00137;1.01;;;;2.293;;
663;11JG00140;1.09;;;;1.623;;
664;11JG00141;0.79;;;;2.729;;
665;11JG00142;1;;;;2.103;;
666;11JG00143;1.12;;;;2.284;;
667;11JG00144;1.04;;;;2.736;;
668;11JG00145;1.05;;;;2.385;;
669;11JG00146;1;;;;2.183;;
670;11JG00147;0.99;;;;3.2;;
671;11JG00148;0.98;;;;2.974;;
672;11JG00149;1.17;;;;2.066;;
673;11JG00150;1.05;;;;2.142;;
674;11JG00151;1.03;;;;1.951;;
675;11JG00152;0.95;;;;1.854;;
676;11JG00153;0.95;;;;3.701;;
677;11JG00154;1.21;;;;2.259;;
678;11JG00155;1.01;;;;3.677;;
679;11JG00156;1.03;;;;1.842;;
680;11JG00157;0.98;;;;2.624;;
681;11JG00158;0.97;;;;2.977;;
682;11JG00159;0.96;;;;3.133;;
683;11JG00160;1.06;;;;1.761;;
684;11JG00161;0.91;;;;3.406;;
685;11JG00162;0.96;;;;3.501;;
686;11JG00163;1.05;;;;2.373;;
687;11JG00164;0.97;;;;3.557;;
688;11JG00165;0.88;;;;2.368;;
689;11JG00166;0.85;;;;2.5;;
690;11JG00167;0.87;;;;3.675;;
691;11JG00168;0.81;;;;2.941;;
692;11JG00169;0.99;;;;3.442;;
693;11JG00170;0.75;;;;12.91;;
694;11JG00171;0.87;;;;1.925;;
695;11JG00172;0.87;;;;5.43;;
696;11JG00173;0.98;;;;3.097;;
697;11JG00174;0.96;;;;2.151;;
698;11JG00176;0.71;;;;2.137;;
699;11JG00177;0.83;;;;3.845;;
700;11JG00178;0.79;;;;1.887;;
701;11JG00179;0.84;;;;3.858;;
702;11JG00180;0.89;;;;2.201;;
703;11JG00181;0.93;;;;3.254;;
704;11JG00182;0.89;;;;3.525;;
705;11JG00183;0.92;;;;2.778;;
706;11JG00184;0.91;;;;2.554;;
707;11JG00185;0.85;;;;2.378;;
708;11JG00186;0.95;;;;2.997;;
709;11JG00187;1;;;;3.291;;
710;11JG00188;1;;;;2.74;;
711;11JG00189;0.96;;;;2.662;;
712;11JG00190;1;;;;3.114;;
713;11JG00191;0.95;;;;2.043;;
714;11JG00192;1.01;;;;2.257;;
715;11JG00193;1.01;;;;1.959;;
716;11JG00194;0.88;;;;3.222;;
717;11JG00195;0.9;;;;2.546;;
718;11JG00196;0.91;;;;1.991;;
719;11JG00197;0.98;;;;2.327;;
720;11JG00198;0.99;;;;2.45;;
721;11JG00199;0.97;;;;2.166;;
722;11JG00200;0.93;;;;2.089;;
723;11JG00201;0.98;;;;2.198;;
724;11JG00202;0.95;;;;2.353;;
725;11JG00203;0.9;;;;3.128;;
726;11JG00204;0.88;;;;3.218;;
727;11JG00205;0.9;;;;3.325;;
728;11JG00206;1.01;;;;3.237;;
729;11JG00207;0.9;;;;3.449;;
730;11JG00208;0.93;;;;3.105;;
731;11JG00209;0.97;;;;4.135;;
732;11JG00210;1;;;;3.462;;
733;11JG00211;0.95;;;;3.649;;
734;11JG00212;1.02;;;;3.145;;
735;11JG00213;0.99;;;;3.299;;
736;11JG00214;0.92;;;;4.042;;
737;11JG00215;1;;;;2.748;;
738;11JG00216;1.01;;;;3.055;;
739;11JG00217;0.95;;;;3.024;;
740;11JG00218;0.94;;;;2.834;;
741;11JG00219;0.96;;;;3.035;;
742;11JG00220;0.81;;;;3.065;;
743;11JG00221;0.84;;;;2.409;;
744;11JG00222;0.97;;;;2.355;;
745;11JG00223;0.95;;;;2.201;;
746;11JG00224;0.95;;;;2.895;;
747;11JG00225;0.97;;;;2.355;;
748;11JG00226;0.95;;;;2.199;;
749;14LEP00001;1.13;;;;1.981;;
750;14LEP00002;1.11;;;;1.918;;
751;14LEP00003;1.12;;;;2.33;;
752;14LEP00004;1.03;;;;2.494;;
753;14LEP00005;1.01;;;;2.011;;
754;14LEP00006;1.06;;;;2.469;;
755;14LEP00007;1.05;;;;1.858;;
756;14LEP00008;1.06;;;;2.452;;
757;14LEP00009;1.08;;;;1.913;;
758;14LEP00010;1.08;;;;2.129;;
759;14LEP00011;1.12;;;;2.716;;
760;14LEP00012;1.24;;;;1.153;;
761;14LEP00013;1.21;;;;2.02;;
762;14LEP00014;1.19;;;;1.915;;
763;14LEP00015;1.24;;;;1.275;;
764;14LEP00016;1.05;;;;3.91;;
765;14LEP00017;1.03;;;;3.847;;
766;14LEP00018;1.11;;;;4.4;;
767;14LEP00019;1.18;;;;3.366;;
768;14LEP00020;1.28;;;;2.377;;
769;14LEP00021;1.24;;;;1.545;;
770;14LEP00022;1.15;;;;2.725;;
771;14LEP00023;1.12;;;;2.347;;
772;14LEP00024;1.02;;;;2.561;;
773;14LEP00025;1.08;;;;2.413;;
774;14LEP00026;1.08;;;;2.61;;
775;14LEP00027;1.1;;;;2.367;;
776;14LEP00028;1.16;;;;2.045;;
777;14LEP00029;1.21;;;;1.64;;
778;14LEP00030;1.13;;;;2.282;;
779;14LEP00031;1.12;;;;2.123;;
780;14LEP00032;1.21;;;;1.581;;
781;14LEP00033;1.16;;;;1.661;;
782;14LEP00034;1;;;;1.763;;
783;14LEP00035;1.06;;;;1.824;;
784;14LEP00036;1.03;;;;2.095;;
785;14LEP00037;1.1;;;;1.37;;
786;14LEP00038;1.02;;;;2.024;;
787;14LEP00039;1;;;;2.465;;
788;14LEP00040;0.91;;;;2.669;;
789;14LEP00041;1;;;;2.414;;
790;14LEP00042;1.02;;;;2.117;;
791;14LEP00043;0.98;;;;2.347;;
792;14LEP00044;0.99;;;;2.374;;
793;14LEP00045;0.97;;;;2.408;;
794;14LEP00046;0.92;;;;2.48;;
795;14LEP00047;0.95;;;;2.625;;
796;14LEP00048;1;;;;2.458;;
797;14LEP00049;0.88;;;;2.585;;
798;14LEP00050;1.14;;;;1.839;;
799;14LEP00051;0.94;;;;2.325;;
800;14LEP00052;0.97;;;;2.048;;
801;14LEP00053;0.93;;;;2.463;;
802;14LEP00054;0.99;;;;2.166;;
803;14LEP00055;1.15;;;;1.21;;
804;14LEP00056;0.97;;;;2.8977;;
805;14LEP00057;0.98;;;;3.039;;
806;14LEP00062;1.06;;;;2.39;;
807;14LEP00063;1.1;;;;3.128;;
808;14LEP00064;1.07;;;;2.457;;
809;14LEP00065;1.05;;;;3.001;;
810;14LEP00066;0.97;;;;3.41;;
811;14LEP00067;1.04;;;;2.864;;
812;14LEP00068;1.11;;;;1.618;;
813;14LEP00069;0.98;;;;2.552;;
814;14LEP00070;1.14;;;;2.328;;
815;14LEP00071;1.24;;;;2.126;;
816;14LEP00072;1.06;;;;2.795;;
817;14LEP00073;1.2;;;;2.418;;
818;14LEP00074;1.13;;;;2.606;;
819;14LEP00075;1.08;;;;1.845;;
820;14LEP00076;1.17;;;;2.008;;
821;14LEP00077;1.02;;;;3.24;;
822;14LEP00078;1.16;;;;2.731;;
823;14LEP00079;1.16;;;;1.972;;
824;14LEP00080;1.19;;;;2.969;;
825;14LEP00081;1.08;;;;2.682;;
826;14LEP00082;1.12;;;;2.546;;
827;14LEP00083;1.11;;;;2.753;;
828;14LEP00084;0.98;;;;2.535;;
829;14LEP00085;0.97;;;;2.74;;
830;14LEP00086;0.99;;;;2.032;;
831;14LEP00087;0.95;;;;2.311;;
832;14LEP00088;1.03;;;;3.088;;
833;14LEP00089;0.93;;;;3.45;;
834;14LEP00090;0.96;;;;3.117;;
835;14LEP00091;1.02;;;;3.731;;
836;14LEP00092;1.07;;;;3.029;;
837;14LEP00093;1.05;;;;3.216;;
838;14LEP00094;1.04;;;;3.295;;
839;14LEP00095;1.02;;;;2.382;;
840;14LEP00096;1.13;;;;2.4597;;
841;14LEP00101;0.96;;;;2.792;;
842;14LEP00102;0.94;;;;2.677;;
843;14LEP00103;0.97;;;;2.876;;
844;14LEP00104;1.08;;;;2.75;;
845;14LEP00105;0.99;;;;3.378;;
846;14LEP00106;1.1;;;;1.853;;
847;14LEP00107;1;;;;2.749;;
848;14LEP00108;1;;;;2.649;;
849;14LEP00109;1.02;;;;2.824;;
850;14LEP00110;0.99;;;;2.884;;
851;14LEP00111;1.04;;;;3.161;;
852;14LEP00112;0.98;;;;3.091;;
853;14LEP00113;0.97;;;;3.104;;
854;14LEP00114;1;;;;3.246;;
855;14LEP00115;0.97;;;;2.961;;
856;14LEP00116;0.94;;;;3.113;;
857;14LEP00117;1.02;;;;2.665;;
858;14LEP00118;1.01;;;;2.574;;
859;14LEP00119;1.02;;;;2.821;;
860;14LEP00120;1;;;;3.34;;
861;14LEP00121;0.98;;;;3.187;;
862;14LEP00122;0.97;;;;3.111;;
863;14LEP00123;1.01;;;;2.89;;
864;14LEP00124;1.03;;;;2.634;;
865;14LEP00125;1.05;;;;2.843;;
866;14LEP00126;1.04;;;;2.633;;
867;14LEP00127;1;;;;2.317;;
868;14LEP00128;1.08;;;;3.137;;
869;14LEP00129;1.05;;;;3.324;;
870;14LEP00130;1;;;;2.665;;
871;14LEP00131;1.03;;;;2.643;;
872;14LEP00132;1.02;;;;2.607;;
873;14LEP00133;1.1;;;;2.423;;
874;14LEP00134;1;;;;3.341;;
875;14LEP00135;1.05;;;;3.028;;
876;14LEP00136;1;;;;3.121;;
877;14LEP00137;0.99;;;;3.626;;
878;14LEP00138;1.05;;;;3.093;;
879;14LEP00139;1;;;;3.229;;
880;14LEP00140;0.99;;;;2.942;;
881;14LEP00141;0.98;;;;3.083;;
882;14LEP00142;0.98;;;;2.691;;
883;14LEP00143;1.01;;;;2.908;;
884;14LEP00144;1.01;;;;2.422;;
885;14LEP00145;1.02;;;;2.811;;
886;14LEP00146;1.03;;;;2.958;;
887;14LEP00147;1.02;;;;2.355;;
888;14LEP00148;0.97;;;;3.251;;
889;14LEP00149;0.96;;;;2.0973;;
890;14LEP00154;1.01;;;;1.731;;
891;14LEP00155;0.91;;;;1.943;;
892;14LEP00156;0.88;;;;1.817;;
893;14LEP00157;0.95;;;;1.903;;
894;14LEP00158;0.9;;;;2.321;;
895;14LEP00159;0.93;;;;2.283;;
896;14LEP00160;0.95;;;;2.198;;
897;14LEP00161;0.91;;;;2.608;;
898;14LEP00162;0.85;;;;3.056;;
899;14LEP00163;0.91;;;;2.853;;
900;14LEP00164;0.97;;;;2.567;;
901;14LEP00165;0.93;;;;2.81;;
902;14LEP00166;0.98;;;;2.722;;
903;14LEP00167;0.97;;;;2.444;;
904;14LEP00168;0.87;;;;2.921;;
905;14LEP00169;0.82;;;;3.207;;
906;14LEP00170;0.99;;;;2.657;;
907;14LEP00171;1.04;;;;2.438;;
908;14LEP00172;0.85;;;;2.816;;
909;14LEP00173;0.89;;;;2.918;;
910;14LEP00174;0.91;;;;2.445;;
911;14LEP00175;0.96;;;;2.165;;
912;14LEP00176;0.85;;;;2.513;;
913;14LEP00177;0.91;;;;2.215;;
914;14LEP00178;0.97;;;;2.114;;
915;14LEP00179;0.92;;;;2.307;;
916;14LEP00180;0.9;;;;2.482;;
917;14LEP00181;0.97;;;;2.386;;
918;14LEP00182;0.87;;;;2.711;;
919;14LEP00183;1.01;;;;2.439;;
920;14LEP00184;1;;;;2.14;;
921;14LEP00185;0.84;;;;2.727;;
922;14LEP00186;0.87;;;;2.63;;
923;14LEP00187;0.87;;;;2.748;;
924;14LEP00188;0.89;;;;2.197;;
925;14LEP00189;0.83;;;;2.496;;
926;14LEP00190;0.91;;;;2.841;;
927;14LEP00191;0.93;;;;2.524;;
928;14LEP00192;0.93;;;;2.389;;
929;14LEP00193;0.83;;;;2.454;;
930;14LEP00194;0.89;;;;2.115;;
931;14LEP00195;0.9;;;;2.432;;
932;14LEP01001;0.9;;;;2.579;;
933;14LEP01002;0.91;;;;2.359;;
934;14LEP01003;0.89;;;;2.479;;
935;14LEP01004;0.94;;;;2.879;;
936;14LEP01005;0.93;;;;2.011;;
937;14LEP01006;0.96;;;;2.406;;
938;14LEP01007;0.97;;;;2.289;;
939;14LEP01008;0.96;;;;2.255;;
940;14LEP01009;0.92;;;;2.204;;
941;14LEP01010;0.97;;;;1.852;;
942;14LEP01011;0.96;;;;2.046;;
943;14LEP01012;0.98;;;;2.942;;
944;14LEP01013;1;;;;2.941;;
945;14LEP01014;1.01;;;;2.735;;
946;14LEP01015;1.16;;;;1.809;;
947;14LEP01016;0.93;;;;3.347;;
948;14LEP01017;0.94;;;;3.342;;
949;14LEP01018;0.9;;;;3.934;;
950;14LEP01019;0.94;;;;3.63;;
951;14LEP01020;0.98;;;;2.602;;
952;14LEP01021;1.06;;;;2.758;;
953;14LEP01022;0.97;;;;3.172;;
954;14LEP01023;0.99;;;;2.111;;
955;14LEP01024;0.95;;;;2.349;;
956;14LEP01025;0.95;;;;2.401;;
957;14LEP01026;0.98;;;;1.708;;
958;14LEP01027;0.93;;;;1.995;;
959;14LEP01028;0.95;;;;2.178;;
960;14LEP01029;1.05;;;;1.258;;
961;14LEP01030;0.91;;;;2.4;;
962;14LEP01031;0.94;;;;1.887;;
963;14LEP01032;0.95;;;;1.943;;
964;14LEP01033;1.01;;;;1.489;;
965;14LEP01034;0.89;;;;2.152;;
966;14LEP01035;0.9;;;;2.424;;
967;14LEP01036;0.83;;;;2.398;;
968;14LEP01037;0.9;;;;1.918;;
969;14LEP01038;0.86;;;;2.146;;
970;14LEP01039;0.82;;;;2.618;;
971;14LEP01040;0.85;;;;2.101;;
972;14LEP01041;0.85;;;;2.893;;
973;14LEP01042;0.87;;;;2.777;;
974;14LEP01043;0.9;;;;2.014;;
975;14LEP01044;0.91;;;;2.276;;
976;14LEP01045;0.87;;;;2.415;;
977;14LEP01046;0.93;;;;2.01;;
978;14LEP01047;0.85;;;;2.31;;
979;14LEP01048;0.88;;;;2.351;;
980;14LEP01049;0.81;;;;2.478;;
981;14LEP01050;0.98;;;;1.704;;
982;14LEP01051;0.87;;;;2.461;;
983;14LEP01052;0.94;;;;1.942;;
984;14LEP01053;0.88;;;;2.138;;
985;14LEP01054;0.82;;;;2.198;;
986;14LEP01055;0.87;;;;2.06;;
987;14LEP01056;0.84;;;;2.489;;
988;14LEP01057;0.91;;;;2.375;;
989;14LEP01058;0.88;;;;2.424;;
990;14LEP01059;0.95;;;;2.28;;
991;14LEP01060;0.93;;;;2.086;;
992;14LEP01061;0.95;;;;2.084;;
993;14LEP01062;0.96;;;;3.014;;
994;14LEP01063;0.99;;;;2.309;;
995;14LEP01064;0.96;;;;2.32;;
996;14LEP01065;0.97;;;;2.875;;
997;14LEP01066;0.98;;;;2.746;;
998;14LEP01067;1.07;;;;1.73;;
999;14LEP01068;1.05;;;;1.395;;
1000;14LEP01069;1.02;;;;2.413;;
1001;14LEP01070;0.96;;;;2.168;;
1002;14LEP01071;0.91;;;;2.552;;
1003;14LEP01072;0.95;;;;2.956;;
1004;14LEP01073;0.99;;;;2.308;;
1005;14LEP01074;0.91;;;;2.865;;
1006;14LEP01075;1.03;;;;2.145;;
1007;14LEP01076;0.94;;;;1.831;;
1008;14LEP01077;0.96;;;;2.271;;
1009;14LEP01078;0.98;;;;2.358;;
1010;14LEP01079;0.95;;;;2.224;;
1011;14LEP01080;0.98;;;;2.46;;
1012;14LEP01081;0.98;;;;2.694;;
1013;14LEP01082;0.94;;;;2.898;;
1014;14LEP01083;0.92;;;;2.841;;
1015;14LEP01084;0.96;;;;2.269;;
1016;14LEP01085;0.92;;;;2.481;;
1017;14LEP01086;0.87;;;;3.135;;
1018;14LEP01087;0.95;;;;2.959;;
1019;14LEP01088;0.91;;;;2.674;;
1020;14LEP01089;0.93;;;;2.9;;
1021;14LEP01090;0.9;;;;3.063;;
1022;14LEP01091;0.94;;;;2.613;;
1023;14LEP01092;0.9;;;;3.101;;
1024;14LEP01093;0.94;;;;2.57;;
1025;14LEP01094;0.96;;;;2.681;;
1026;14LEP01095;0.97;;;;2.856;;
1027;14LEP01096;1.02;;;;2.755;;
1028;14LEP01097;0.89;;;;3.28;;
1029;14LEP01098;0.95;;;;3.052;;
1030;14LEP01099;0.99;;;;2.369;;
1031;14LEP01100;1.01;;;;2.345;;
1032;14LEP01101;0.95;;;;2.402;;
1033;14LEP01102;0.9;;;;2.547;;
1034;14LEP01103;0.92;;;;2.454;;
1035;14LEP01104;0.91;;;;2.254;;
1036;14LEP01105;0.95;;;;2.394;;
1037;14LEP01106;0.94;;;;2.516;;
1038;14LEP01107;0.92;;;;2.615;;
1039;14LEP01108;0.91;;;;2.585;;
1040;14LEP01109;0.92;;;;2.36;;
1041;14LEP01110;0.93;;;;2.286;;
1042;14LEP01111;0.85;;;;2.597;;
1043;14LEP01112;0.9;;;;2.474;;
1044;14LEP01113;0.92;;;;2.713;;
1045;14LEP01114;0.96;;;;2.439;;
1046;14LEP01115;0.91;;;;2.305;;
1047;14LEP01116;0.89;;;;2.262;;
1048;14LEP01117;0.92;;;;2.804;;
1049;14LEP01118;0.94;;;;2.595;;
1050;14LEP01119;0.89;;;;2.607;;
1051;14LEP01120;0.93;;;;1.979;;
1052;14LEP01121;0.94;;;;2.473;;
1053;14LEP01122;0.93;;;;2.496;;
1054;14LEP01123;0.88;;;;2.673;;
1055;14LEP01124;0.93;;;;2.396;;
1056;14LEP01125;0.91;;;;3.14;;
1057;14LEP01126;0.88;;;;2.567;;
1058;14LEP01127;0.89;;;;2.476;;
1059;14LEP01128;0.91;;;;2.635;;
1060;14LEP01129;0.88;;;;2.522;;
1061;14LEP01130;0.92;;;;2.672;;
1062;14LEP01131;0.89;;;;2.656;;
1063;14LEP01132;0.88;;;;2.822;;
1064;14LEP01133;0.89;;;;2.759;;
1065;14LEP01134;0.89;;;;2.858;;
1066;14LEP01135;0.91;;;;2.63;;
1067;14LEP01136;0.9;;;;2.551;;
1068;14LEP01137;0.85;;;;2.415;;
1069;14LEP01138;0.89;;;;2.763;;
1070;14LEP01139;0.97;;;;2.168;;
1071;14LEP01140;0.9;;;;2.658;;
1072;14LEP01141;0.96;;;;2.247;;
1073;14LEP01142;0.98;;;;2.109;;
1074;14LEP01143;1.05;;;;1.023;;
1075;14LEP01144;1.06;;;;0.8949;;
1076;14LEP01145;0.84;;;;2.643;;
1077;14LEP01146;0.82;;;;1.765;;
1078;14LEP01147;0.83;;;;2.782;;
1079;14LEP01148;0.94;;;;2.478;;
1080;14LEP01149;0.93;;;;2.028;;
1081;14LEP01150;0.95;;;;2.109;;
1082;14LEP01151;0.85;;;;2.927;;
1083;14LEP01152;0.91;;;;2.445;;
1084;14LEP01153;0.86;;;;2.122;;
1085;14LEP01154;0.94;;;;1.978;;
1086;14LEP01155;0.92;;;;2.089;;
1087;14LEP01156;0.92;;;;1.854;;
1088;14LEP01157;0.92;;;;1.949;;
1089;14LEP01158;0.97;;;;1.675;;
1090;14LEP01159;0.85;;;;2.03;;
1091;14LEP01160;0.79;;;;2.416;;
1092;14LEP01161;0.97;;;;2.053;;
1093;14LEP01162;0.9;;;;2.051;;
1094;14LEP01163;0.83;;;;2.203;;
1095;14LEP01164;0.92;;;;2.077;;
1096;14LEP01165;0.89;;;;2.016;;
1097;14LEP01166;0.96;;;;2.032;;
1098;14LEP01167;0.94;;;;2.142;;
1099;14LEP01169;0.94;;;;2.129;;
1100;14LEP01170;0.89;;;;2.35;;
1101;14LEP01171;0.9;;;;2.843;;
1102;14LEP01172;0.94;;;;2.7;;
1103;14LEP01173;0.96;;;;2.082;;
1104;14LEP01174;0.97;;;;2.319;;
1105;14LEP01175;0.87;;;;3.102;;
1106;14LEP01176;0.88;;;;2.478;;
1107;14LEP01177;0.87;;;;2.388;;
1108;14LEP01178;0.9;;;;2.302;;
1109;14LEP01179;0.98;;;;1.895;;
1110;14LEP01180;0.91;;;;2.258;;
1111;14LEP01181;1;;;;1.644;;
1112;14LEP01182;0.97;;;;1.763;;
1113;14LEP01183;0.9;;;;1.987;;
1114;14LEP01184;1;;;;1.862;;
1115;14LEP01185;0.95;;;;2.359;;
1116;14LEP01186;0.94;;;;2.257;;
1117;14LEP01187;0.96;;;;1.944;;
1118;14LEP01188;0.84;;;;1.925;;
1119;14LEP01189;0.87;;;;1.841;;
1120;14LEP01190;0.86;;;;1.922;;
1121;14LEP01191;0.85;;;;2.04;;
1122;14LEP01192;0.86;;;;2.16;;
1123;14LEP01193;0.91;;;;1.903;;
1124;14LEP01194;0.96;;;;1.796;;
1125;14LEP01195;0.84;;;;2.311;;
1126;14LEP01196;0.89;;;;2.507;;
1127;14LEP01197;0.94;;;;1.744;;
1128;14LEP01198;0.92;;;;1.971;;
1129;14LEP01199;0.98;;;;1.813;;
1130;14LEP01200;0.93;;;;1.925;;
1131;14LEP01201;0.93;;;;2.146;;
1132;14LEP01202;0.95;;;;1.894;;
1133;14LEP01203;0.99;;;;1.829;;
1134;14LEP01204;0.94;;;;2.479;;
1135;14LEP01205;0.91;;;;2.472;;
1136;14LEP01206;0.86;;;;3.311;;
1137;14LEP01207;0.89;;;;2.592;;
1138;14LEP01208;0.86;;;;2.983;;
1139;14LEP01209;0.87;;;;2.876;;
1140;14LEP01210;0.98;;;;1.417;;
1141;14OLEP01211;0.31;;;;52.14;;
1142;14LEP01212;1;;;;1.421;;
1143;14LEP01213;1;;;;1.688;;
1144;14LEP01214;0.89;;;;4.336;;
1145;14LEP01215;0.73;;;;6.239;;
1146;14LEP01216;1;;;;2.761;;
1147;14LEP01217;0.88;;;;3.019;;
1148;14LEP01218;0.98;;;;2.525;;
1149;14LEP01219;0.88;;;;3.94;;
1150;14LEP01220;0.86;;;;3.505;;
1151;14LEP01221;0.8;;;;4.698;;
1152;14LEP01222;0.95;;;;3.122;;
1153;14LEP01223;0.88;;;;2.81;;
1154;14LEP01224;0.93;;;;2.836;;
1155;14LEP01225;0.83;;;;6.345;;
1156;14LEP01226;0.95;;;;3.377;;
1157;14LEP01227;1.06;;;;2.15;;
1158;14LEP01228;1.02;;;;2.842;;
1159;14LEP01229;1.07;;;;1.967;;
1160;14LEP01230;0.86;;;;3.936;;
