IDEN;No.inventory;Density_gPcm3;WB_perc;LOI_perc;Cactiv_mgPkg;C_perc;N_perc;S_perc
120;05LEP00220;;;;;3.411;;
121;05LEP00222;;;;;2.5267;;
122;05LEP00224;;;;;2.1897;;
123;05LEP00226;1.3;;;;0.7511;;
124;05LEP00228;;;;;1.7187;;
125;05LEP00230;;;;;1.6793;;
126;05LEP00232;;;;;2.167;;
127;05LEP00234;1.36;;;;0.7658;;
128;05LEP00236;1.26;;;;1.7327;;
129;05LEP00238;;;;;1.9617;;
130;05LEP00240;1.33;;;;1.2937;;
131;05LEP00242;1.25;;;;2.4777;;
132;05LEP00244;1.13;;;;2.7443;;
133;06LEP00100;1.19;3.71;;;2.353;;
134;06LEP00101;1.34;3.375;;;1.985;;
135;06LEP00102;1.39;4.975;;;3.653;;
136;06LEP00117;;4.205;;;;;
137;06LEP00103;1.33;1.94;;;1.35;;
138;06LEP00104;1.35;3.375;;;2.023;;
139;06LEP00105;1.28;3.775;;;2.144;;
140;06LEP00106;1.3;3.575;;;2.269;;
141;06LEP00107;1.38;2.535;;;1.864;;
142;06LEP00108;1.39;3.44;;;2.194;;
143;06LEP00109;;10.22;;;4.974;;
144;06LEP00110;1.28;2.705;;;1.812;;
145;06LEP00113;;3.075;;;1.711;;
146;06LEP00114;;4.14;;;;;
147;06LEP00112;1.25;3.67;;;2.153;;
148;06LEP00115;;3.8;;;;;
149;06LEP00116;;3.4;;;;;
150;06LEP00200;1.5;5.5;;;1.197;;
151;06LEP00207;;3.2;;;;;
152;06LEP00201;1.26;4.6;;;2.691;;
153;06LEP00208;;6.5;;;;;
154;06LEP00202;;3.5;;;1.659;;
155;06LEP00209;;3.6;;;;;
156;06LEP00210;;5.4;;;;;
157;06LEP00203;1.19;2.3;;;1.455;;
158;06LEP00204;;3.9;;;;;
159;06LEP00205;1.22;6.1;;;3.533;;
160;06LEP00211;;4.5;;;;;
161;06LEP00206;1.35;2;;;1.409;;
162;06LEP00212;;3.5;;;;;
163;06LEP00213;;;;;;;
164;06LEP00300;1.19;3.4;;;1.958;;
165;06LEP00301;1.2;3.51;;;2.183;;
166;06LEP00302;1.28;2.92;;;1.822;;
167;06LEP00303;1.32;2.43;;;1.631;;
