IDEN;1_2mm;0.5_1.0mm;0.25_0.5mm;0.1_0.25mm;0.05_0.01mm
528;4.3;6.8;7;5;2.1
529;1.8;1.5;2.4;4;2.5
544;2.1;1.9;4.8;11.8;8.1
550;1.7;1.2;2.8;3.9;1.6
749;2.762703503;32.38776517;33.79378392;15.41687222;3.132708436
750;4.504728721;26.70482827;32.55350921;20.75659532;3.459432554
751;3.388141505;34.18036871;33.93124066;14.4245142;2.566018934
752;3.51445663;17.67198405;36.01694915;26.07178465;4.037886341
753;1.466931875;17.42913973;41.07409249;24.39085032;2.809547489
754;3.845199702;14.56214339;41.99950385;26.07293476;3.150582982
755;0.709858028;15.74685063;42.5714857;26.21475705;3.00939812
756;2.69;28.19;42.98;10.5;2.75
757;3.02969703;30.0669933;43.57564244;8.749125087;2.489751025
758;2.86;36.84;39.29;7.58;2.26
759;1.85;28.17;45.59;8.81;2.93
760;13.41;48.9;21.72;2.64;1.34
761;9.809019098;39.6860314;24.64753525;4.629537046;2.449755024
762;14.07718456;45.24095181;19.25614877;3.479304139;2.039592082
763;13.24735053;48.08038392;23.32533493;2.859428114;1.359728054
764;24.03759624;42.23577642;8.419158084;0.95990401;0.349965003
765;12.98;36.71;18.55;4.7;3.2
766;13.17;37.89;15.61;4.29;2.93
767;13.18736253;42.4715057;17.06658668;4.479104179;2.819436113
768;18.26;41.13;16.86;4.03;2.71
769;13.75;42.22;16.39;4.2;2.42
770;7.9;37.42;23.17;5.39;3.56
771;0.42;5.03;27.66;36.46;9.89
772;0.38;4.45;25.01;35.09;11.53
773;0.42;3.69;20.04;34.85;17.02
774;0.54;4.57;27.68;31.78;10.32
775;2.029594081;12.31753649;34.9830034;28.14437113;6.278744251
776;1.36;9.42;33.78;31.78;8.6
777;1.199760048;8.388322336;33.42331534;33.89322136;9.888022396
778;0.629937006;6.669333067;28.32716728;35.82641736;10.92890711
779;1.309869013;8.449155084;30.3169683;32.70672933;11.16888311
780;;;32.06679332;33.41665833;11.37886211
781;0.34;2.3;15.71;41.26;21.48
782;0.429914017;2.819436113;6.448710258;27.6044791;25.52489502
783;0.64;3.79;8.92;32.96;22.89
784;0.519948005;3.479652035;8.709129087;30.59694031;24.30756924
785;0.829917008;5.409459054;13.31866813;33.11668833;15.84841516
786;0.589941006;3.349665033;7.529247075;26.73732627;18.42815718
787;0.669933007;1.909809019;7.949205079;30.1969803;12.88871113
788;0.2;1.25;7.75;29.89;18.03
789;0.419958004;1.579842016;6.03939606;29.7170283;17.03829617
790;0.4;2.15;7.43;32.65;19.38
791;0.579884023;2.959408118;9.948010398;33.51329734;23.17536493
792;0.399920016;2.839432114;6.708658268;14.80703859;23.93521296
793;1.15942029;5.687156422;11.41429285;8.215892054;5.487256372
794;0.7;3.4;5.6;7;12.5
795;1.9;5;9.7;18.6;9.8
796;0.8;4;7.2;8.8;13.4
797;0.629811057;2.769169249;6.598020594;8.637408777;14.59562131
798;0.938404712;2.036537886;3.653788559;3.903364281;6.159528801
799;1.308691309;10.08991009;29.35064935;12.23776224;6.473526474
800;1.809819018;8.00919908;15.92840716;18.18818118;11.21887811
801;0.849066027;4.175407052;9.529517531;10.1688143;8.580561382
802;2;4.5;9.2;16.3;5.5
803;1.2;5.6;10.2;15.6;17.1
804;0.885572139;0.517412935;13.38308458;53.79104478;10.06965174
805;0.53;0.92;10.88;48.16;14.07
806;8.355822089;27.91604198;29.74512744;13.86306847;3.828085957
807;7.245652608;28.85268839;32.99020588;12.45252848;3.647811313
808;5.927628948;30.16793283;32.78688525;12.58496601;3.24870052
809;10.85480328;29.92810066;26.77251847;11.47393649;3.714799281
810;7.705376774;33.38996602;28.13312013;11.18329003;3.447931241
811;6.783894495;32.3408932;30.16285343;11.85932661;3.516834849
812;8.99730081;29.9710087;25.91222633;12.63620914;3.608917325
813;6.786606697;29.05547226;31.55422289;12.60369815;3.418290855
814;9.634219468;30.42174695;33.78972616;12.95222866;2.238656806
815;10.64828688;32.53421237;33.03366297;12.00679253;2.437318949
816;10.99721338;31.55851911;30.5035828;11.42515924;2.468152866
817;16.19704237;25.80935252;25.57953637;11.85051958;2.967625899
818;15.85207396;25.02748626;26.43678161;11.04447776;3.108445777
819;14.30568034;23.93930318;24.568234;12.42887092;3.484077069
820;9.521430712;25.60695374;32.67059646;13.8275552;3.436906784
821;11.13220745;24.0831418;25.5021485;15.5091436;3.717397822
822;11.82742128;27.90952571;27.97927461;13.78039059;3.168593065
823;15.10978044;29.68063872;23.24351297;13.58283433;2.754491018
824;8.674795123;25.75454727;29.88207076;14.9910054;3.507895263
825;9.725137431;27.05647176;26.16691654;14.85257371;3.51824088
826;9.548992217;22.71003792;28.926362;18.60906007;3.701855917
827;10.63596491;28.45893142;26.81419458;13.67623604;2.950558214
828;3.285072391;12.82076885;41.38791812;23.49475786;3.904143784
829;4.328358209;15.13432836;37.21393035;22.8159204;3.661691542
830;3.134358155;11.99840287;41.85466161;24.91515273;3.723298063
831;4.518192723;18.61255498;37.94482207;21.08156737;3.418632547
832;14.51;19.66;27.57;0.34;23.2
833;8.486901086;21.1375635;28.32951489;19.92230302;4.123916725
834;10.04794247;23.46184579;29.165002;16.82980423;3.945265681
835;8.935532234;21.57921039;30.13493253;18.60069965;3.698150925
836;8.755484643;16.53370562;30.8037495;23.24491424;5.364978061
837;10.36585366;18.82247101;28.04878049;22.16113555;4.648140744
838;4.01;14.04;40.07;23.38;4.05
839;11.63302019;28.76274235;25.02498501;13.11213272;3.677793324
840;10.66597832;22.66391327;29.31337119;16.45844089;4.429530201
841;0.976484655;3.7963332;24.61139896;44.8684735;9.784774811
842;0.918989112;3.606033363;27.24003596;43.53211467;9.259814204
843;0.779688125;4.138344662;24.47021192;43.48260696;10.58576569
844;0.87;3.55;25.86;41.61;11.7
845;0.909090909;3.986013986;28.87112887;38.17182817;11.36863137
847;0.987925357;4.061470911;36.70292386;36.74284004;7.045205069
848;0.829834033;4.939012198;43.39132174;30.47390522;6.478704259
849;1.128645625;6.821813823;44.40671195;25.32960447;7.121454255
850;1.167664671;7.594810379;37.95409182;28.93213573;8.363273453
851;1.119664101;4.988503449;29.03129061;33.16005198;13.73587924
852;1.306602833;1.905046878;19.56912029;46.36943946;11.55994415
853;1.179174578;1.89867093;21.73478565;45.73798341;11.32207455
854;1.145304253;2.559506025;21.05367991;45.28433423;11.70202171
855;1.314217443;1.622859419;20.01194743;46.19673437;13.25169255
856;1.017862489;1.546751821;19.91817184;43.98762599;15.44756012
857;1.514547629;1.823435632;24.18294141;44.63929853;12.48505381
858;0.737051793;1.663346614;26.88247012;49.05378486;7.569721116
859;0.717131474;1.56374502;28.88446215;46.28486056;8.386454183
860;0.769077107;2.50699161;31.12265282;44.11705953;8.000399521
861;0.958083832;1.22754491;20.10978044;48.06387226;14.5508982
862;0.718993409;1.388056721;20.14180148;46.88436189;13.77072099
863;1.058518075;1.707609347;21.11044538;48.39225085;10.02596365
864;0.819180819;1.718281718;18.36163836;50.57942058;11.01898102
865;0.867311335;1.49536437;19.98803709;47.80181438;11.61399661
866;0.739186894;1.528318849;20.63729897;49.08600539;11.10778144
867;0.637196336;0.866188769;24.7311828;46.69454401;11.68857029
868;0.658616905;1.087715797;15.26793733;47.47031234;16.33569504
869;0.768386389;2.534677178;29.45813791;33.82895919;14.12034727
870;0.699930007;1.519848015;12.14878512;53.41465853;15.18848115
871;0.828260653;1.516814689;22.99171739;40.17563117;15.15816785
872;0.827765034;1.316445597;15.83723945;49.48638676;14.33130548
873;0.956556397;1.38501395;20.86488641;48.4954165;11.61817457
874;0.749475367;1.049265514;25.9218547;50.67452783;6.005795943
875;0.798881566;0.93868584;23.19752347;50.8687837;7.669263032
876;0.609878024;0.769846031;18.15636873;55.14897021;7.808438312
877;1.027841533;1.247380501;22.88194791;50.90310348;7.683863886
878;0.849405416;1.528929749;29.29949036;45.01848706;6.295593085
879;0.809838032;1.729654069;29.69406119;45.33093381;5.978804239
880;0.828922401;1.947468291;29.12214122;44.25247179;6.851093578
881;0.709503348;1.688817828;36.38453083;37.79354452;5.366243629
882;0.549725137;1.869065467;46.24687656;31.82408796;4.737631184
883;1.008688705;2.287026865;34.59502647;39.73834016;5.742534705
884;0.588059404;2.362204724;43.9948171;34.52606399;4.953652945
885;1.3036123;1.413075928;2.895810528;41.44691014;21.82306697
886;1.348920863;1.888489209;3.477218225;42.39608313;22.36211031
888;10.85657371;12.77888446;8.416334661;2.838645418;1.982071713
889;16.79640719;17.26546906;8.063872255;3.80239521;1.477045908
890;0.26;0.56;4.68;28.48;33.94
891;0.31968032;0.699300699;4.415584416;22.85714286;34.30569431
892;0.31961646;0.759089093;5.513383939;32.44107072;31.22253296
893;0.579884023;0.99980004;5.678864227;30.0739852;31.01379724
894;0.279776179;0.539568345;5.87529976;22.06235012;32.57394085
895;0.219692431;0.718993409;5.612143;28.69982025;31.35610146
896;0.419329073;0.71884984;4.452875399;24.1014377;34.90415335
897;0.239808153;0.579536371;5.37569944;26.49880096;33.33333333
898;1.172239243;6.820301052;13.5873185;14.10683362;20.90049287
899;1.052771855;6.743070362;15.60501066;16.51119403;22.26812367
900;1.386296987;5.865102639;16.22234071;19.02159424;19.39482805
901;0.813333333;5.173333333;15.44;19.89333333;19.34666667
902;1.297664204;7.386703933;17.28888002;20.84248353;17.7480535
903;2.077506992;9.188973232;17.51897723;21.69396724;14.88214143
904;0.759544273;3.098141115;6.955826504;16.45012992;28.50289826
905;1.038753496;3.196164602;7.830603276;12.00559329;22.79264882
906;2.379524095;14.9170166;24.25514897;15.17696461;13.19736053
907;4.354774271;19.01717938;34.2389133;16.30043947;4.354774271
908;0.759089093;2.536955653;9.348781462;18.83739513;25.50938873
909;0.419748151;2.478512892;7.115730562;13.31201279;29.32240656
910;0.519930676;2.932942274;11.22516998;20.45060659;26.28982802
911;0.81300813;3.691856591;14.79408237;22.04451553;26.50939624
912;0.826556459;2.772963605;10.7052393;18.17091055;27.42301027
913;1.717938474;6.512185378;18.75749101;23.39192968;18.61765881
914;1.718968619;6.216270238;18.0691585;23.8856686;20.12792325
915;2.057942058;6.213786214;24.61538462;25.69430569;9.91008991
916;1.378621379;7.552447552;20.63936064;24.995005;17.3026973
917;2.937062937;14.86513487;30.30969031;22.4975025;6.033966034
918;0.946035976;1.545636243;6.209193871;20.94603598;32.76482345
919;1.039861352;1.133182242;4.11945074;19.39741368;37.02173044
920;2.437075509;10.52736716;25.78905314;27.36715941;9.009188973
921;1.977231875;11.34411823;26.54284002;21.76952267;11.46395047
922;2.318145484;8.932853717;21.92246203;25.99920064;12.01039169
923;0.799573561;0.946162047;4.104477612;18.78997868;35.71428571
924;1.119776045;0.679864027;3.179364127;26.87462507;42.75144971
925;0.759696122;0.739704118;3.458616553;27.14914034;36.8652539
926;1.039376374;0.839496302;3.058165101;17.90925445;35.01898861
