IDEN;IDEN_2;DepthLow_cm;DepthHigh_cm;OM_WB_perc;OM_LOI_perc;C_active_perc;C_perc;S_perc;N_perc;pHCaCl2;pHWater;pHKCl;pHSMP;P_M3_mgPkg;K_M3_mgPkg;Ca_M3_mgPkg;Mg_M3_mgPkg;Mn_M3_mgPkg;Zn_M3_mgPkg;Cu_M3_mgPkg;Al_M3_mgPkg;Fe_M3_mgPkg;CEC_NH4OAc_meqP100g;CEC_bases_meqP100g;CEC_pHSMP;NO3Wet_mgPkg;NO3_mgPkg;NH4_mgPkg
2741;14LEP03341;0;20;;;;1.888;0.00488;0.1278;5.24;;;;50.49;57.72;355.04;30.67;10.22;2.39;1.17;2197.24;118.45;;;;;;
2847;17CET0040;;;;;263.038;2.772;0.01447;0.2098;5.24;;;6.56;62.56;18.65;597.44;103.61;4.68;5.81;1.24;1874.66;250.13;;;;;18.8194;15.5898
2862;17CET0055;;;;;313.052;3.338;0.01785;0.2655;5.24;;;6.34;75.23;49.33;663.71;118.54;4.74;5.67;1.4;1848.26;287.83;;;;;19.6265;15.4779
206;01LEP00548;0;30;2.68;;;1.668;0.01035;0.0946;5.25;5.32;;6.82;21.03;48.7;700;41.8;;;;2037.89;;;;;;;
533;09LEP00400;0;20;;;;2.57;0.053526667;0.254733333;5.25;;;;157.57;215.98;830.08;103.21;11.31;12.87;12.19;1950.34;193.25;;;;37.58;;
632;11JG00045;0;20;;;;3.023;0.05514;0.2403;5.25;5.24;;6.67;41.45;51.69;2268.84;197.39;37.73;1.45;1.75;835.99;181.65;17.481;19.52;20.59;;31.09;
880;14LEP00140;0;20;;;;2.942;0.03322;0.1055;5.25;5.19;;6.35;135.91;42.15;714.81;26.72;18.17;16.45;3.68;1720.68;174.18;8.075;16.7;14.25;;;
883;14LEP00143;0;20;;;;2.908;0.04313;0.1087;5.25;5;;6.41;78.78;35.47;647.05;25.33;12.34;8.99;3.46;1674;145.76;10.179;17.94;13.35;;;
960;14LEP01029;0;20;;;;1.258;0.01757;0.1062;5.25;;;;319.97;74.93;456.83;54.18;8.01;6.83;8.08;1687.63;141.76;;;;11.316;;
963;14LEP01032;0;20;;;;1.943;0.01947;0.1677;5.25;;;;340.21;89.41;664.02;83.25;10.04;7.58;14.66;1964.25;213.36;;;;14.912;;
964;14LEP01033;0;20;;;;1.489;0.01435;0.1257;5.25;;;;248.18;119.7;471.69;59.36;7.35;5.7;8.78;1769.17;129.61;;;;10.707;;
1323;14LEP02117;0;20;;;;2.22;0.02347;0.2093;5.25;;;;98.63;251.88;631.64;69.31;14.3;3.7;1.29;949.44;285.38;;;;46.3171;;
1395;14LEP02195;0;20;;;;2.064;0.0083;0.1246;5.25;;;;74.11;33.81;533.33;52.72;16.09;4.38;0.59;1761.73;93.94;;;;17.1432;;
1545;14LEP02345;0;20;;;;2.496;0.02089;0.16;5.25;;;;31.78;56.69;648.04;43.85;7.59;3.71;0.71;2263.49;81.9;;;;35.3335;;
2208;1JGF00001;0;20;;;;1.88;-0.00106;0.1413;5.25;;;;36.01;91.86;453.35;33.08;3.3;0.83;0.26;622.11;181.72;;;;12.6902;;
2245;1JGF00038;0;20;;;;2.768;0.01409;0.3323;5.25;;;;48.83;147.43;621.09;60.2;3.52;1.5;0.32;893.09;156.44;;;;32.7229;;
2603;14LEP03203;0;20;;;;2.378;0.01089;0.1517;5.25;;;;208.32;61.17;662.22;40.13;24.63;9.46;1.91;2084.25;156.68;;;;;;
2759;14LEP03359;0;20;;;;2.662;0.01214;0.1634;5.25;;;;164.52;58.97;616.74;58.14;12.51;4.05;1.47;2145.03;126.07;;;;;;
2785;14LEP03385;0;20;;;;1.88;0;0.1413;5.25;;;;36.01;91.86;453.35;33.08;3.3;0.83;0.26;622.11;181.72;;;;;;
928;14LEP00192;0;20;;;;2.389;0.03299;0.07424;5.26;4.88;;7;119.26;33.61;498.76;58.65;12.48;7.08;4.37;1792.28;125.25;5.403;;7.57;;;
957;14LEP01026;0;20;;;;1.708;0.015;0.14;5.26;;;;253.33;93.88;539.46;62.2;10.32;7.52;11.87;1867.09;137.55;;;;12.622;;
990;14LEP01059;0;20;;;;2.28;0.02322;0.1852;5.26;;;;351.27;190.14;747.04;87.84;16.55;7.36;5.58;1792.84;171.87;;;;;;
1078;14LEP01147;0;20;;;;2.782;0.02628;0.2318;5.26;;;;97.1;39.04;661.15;52.71;13.06;1.13;2.4;1873.5;136.1;;;;;;
1122;14LEP01192;0;20;;;;2.16;0.01576;0.1956;5.26;;;;83.45;67.82;580.27;45.3;7.13;1.67;1.12;2051.04;103.57;;;;47.954;;
1174;14LEP01244;0;20;;;;3.497;0.01359;0.7549;5.26;;;;305.74;77.14;1489.87;126.59;35.44;0.77;1.91;1433.65;275.23;;;;;;
1547;14LEP02347;0;20;;;;2.302;0.02053;0.1607;5.26;;;;63.71;39.09;422.32;29.78;6.54;2.32;0.74;1930.44;82;;;;9.6458;;
2673;14LEP03273;0;20;;;;2.841;0.02013;0.1598;5.26;;;;185.14;57.51;797.34;46.1;24.44;13.86;1.59;2113.12;208.94;;;;;;
651;11JG00114;0;20;;;;2.218;0.03883;0.1317;5.27;5.01;;6.63;88.3;102;1881.62;253.25;54.48;1.94;1.84;748.06;285.69;16.241;16.78;19.61;;34.48;
1012;14LEP01081;0;20;;;;2.694;0.02176;0.1868;5.27;;;;85.4;38.42;789.56;69.45;14.12;4.3;0;1931.55;103.31;;;;26.719;;
1097;14LEP01166;0;20;;;;2.032;0.02024;0.1846;5.27;;;;62.61;56.08;508.72;48.14;9.8;4.81;2.99;1877;103.59;;;;37.379;;
1115;14LEP01185;0;20;;;;2.359;0.01941;0.1641;5.27;;;;26.03;60.46;340.33;36.79;6.28;0.54;1.87;1970.02;74.21;;;;29.858;;
326;01LEP00601;30;60;;;;;;;5.28;5.56;;;15.2;150;769;84;;;;2259;;;;;;;
329;01LEP00607;30;60;;;;;;;5.28;5.37;;;5.4;98;305;33;;;;2207;;;;;;;
362;01LEP00673;30;60;;;;;;;5.28;5.91;;;;;;;;;;;;;;;;;
542;09LEPinc0107;0;20;;;;3.395;0.064205;0.20195;5.28;;;;24.64;79.94;673.67;143.06;6.61;2.37;1.59;2011.06;201.16;;;;;;
599;12UL00001;0;20;1.6;;;;;;5.28;5.95;;5.4;;;;;;;;;;;;;;;
884;14LEP00144;0;20;;;;2.422;0.03406;0.07933;5.28;5.01;;6.48;101.09;28.23;540.97;22.2;17.56;12.06;3.55;1700.1;148.19;6.795;13.36;12.14;;;
922;14LEP00186;0;20;;;;2.63;0.03967;0.1084;5.28;4.97;;6.68;109.66;68.67;633.15;47.93;10.94;8.39;4.42;1922.18;131.79;5.741;14.54;11.12;;;
1104;14LEP01174;0;20;;;;2.319;0.01763;0.2094;5.28;;;;84.65;73.79;600.77;49.33;11.87;2.43;0.82;1775.74;113.5;;;;35.479;;
1217;14LEP02011;0;20;;;;2.121;0.00862;0.159;5.28;;;;209.96;67.03;429.17;85.86;12.56;6.98;1.68;2004.05;114.04;;;;23.1045;;
1437;14LEP02237;0;20;;;;2.81;0.0195;0.1898;5.28;;;;246.6;40.29;705.2;35.07;23.76;9.77;2.92;1902.74;186.62;;;;19.3546;;
1485;14LEP02285;0;20;;;;2.556;0.01872;0.1889;5.28;;;;283.84;66.62;806.61;30.2;16.46;15.61;1.67;1619.61;191.09;;;;26.7509;;
1591;14LEP02391;0;20;;;;2.081;0.01141;0.1286;5.28;;;;128.56;53.44;641.66;42.64;11.04;4.98;1.35;2087.74;79.95;;;;112.193;;
2218;1JGF00011;0;20;;;;2.344;-0.00108;0.146;5.28;;;;42.04;104.48;523.35;30;3.35;0.74;0.27;759.36;147.63;;;;26.7077;;
2295;1JGF00088;0;20;;;;6.64;0.03214;0.2841;5.28;;;;288;187.26;1519.37;139.74;6.92;6.05;0.97;1880.04;166.81;14.16;;;81.0565;;
2295;1JGF00088;0;20;;;;6.64;0.03214;0.2841;5.28;;;;288;187.26;1519.37;139.74;6.92;6.05;0.97;1880.04;166.81;;;;81.0565;;
2563;14LEP03163;0;20;;;;2.236;0.00773;0.1338;5.28;;;;113.6;37.24;763.63;66.4;24.72;7.07;0.45;2253.23;142.9;;;;;;
2681;14LEP03281;0;20;;;;2.842;0.02267;0.1786;5.28;;;;444.65;83.5;1032.27;65.75;47.01;28.77;5.34;2001.74;210.84;;;;;;
2784;14LEP03384;0;20;;;;2.187;0.00268;0.1537;5.28;;;;149.02;84.47;568.95;57.57;19.48;5.76;1.81;2036.23;117.4;;;;;;
65.02;05OLEP00008;0;20;5.75;;;2.021;0.03492;0.187;5.29;;;6.43;241.62;300.55;1225.98;91.7;40.39;1.31;2.73;1612.73;320.41;;;;;;
521;09LEP00304;0;20;;;;3.426;0.042103;0.08015;5.29;;;;67.37;198.64;707.66;111.91;9.23;2.84;0.29;1927.93;185.26;5.34;;;;;
598;12UL00000;0;20;4;;;;;;5.29;5.57;;5.35;;;;;;;;;;;;;;;
774;14LEP00026;0;20;;;;2.61;0.06843;0.1639;5.29;5.04;;6.47;164.41;123.19;867.13;94.22;17.14;12.62;18.67;1554.6;156.37;9.939;21.64;14.71;;;
836;14LEP00092;0;20;;;;3.029;0.03715;0.806;5.29;5.09;;6.45;63.86;15.96;677.9;52.38;23.73;7.68;2.89;1566.46;130.22;8.526;16.67;13.32;;;
850;14LEP00110;0;20;;;;2.884;0.03782;0.311;5.29;5.11;;6.45;141.56;26.78;713.96;48.39;21.53;10.31;4.37;1664.52;153.35;7.094;14.64;13.49;;;
1071;14LEP01140;0;20;;;;2.658;0.02543;0.2006;5.29;;;;145.96;50.45;766.33;31.57;23.39;12.3;1.09;1855.01;137.35;;;;29.34;;
1127;14LEP01197;0;20;;;;1.744;0.01119;0.1613;5.29;;;;115.72;64.97;581.91;50.84;8.34;4.5;1.68;1786.43;108.26;;;;31.424;;
1553;14LEP02353;0;20;;;;2.227;0.01395;0.1578;5.29;;;;29.79;54.51;602.25;20.75;16.12;2.19;0.63;2384.45;58.95;;;;10.2842;;
1563;14LEP02363;0;20;;;;1.732;0.00848;0.1036;5.29;;;;41.65;61.24;322.66;34.41;9.49;2.43;1.64;2070.25;68.67;;;;10.2484;;
2246;1JGF00039;0;20;;;;3.052;0.00357;0.1725;5.29;;;;80.35;100.01;616.4;59.61;3.64;2.26;0.48;632.36;110.86;;;;32.9896;;
2633;14LEP03233;0;20;;;;2.549;0.01842;0.1649;5.29;;;;205.54;61.78;681.53;36.26;21.65;9.61;2.17;1863.97;182.63;;;;;;
2682;14LEP03282;0;20;;;;3.169;0.03093;0.2091;5.29;;;;422.81;92.61;1112.98;73.23;49.58;35.04;6.31;1958.46;214.88;;;;;;
2697;14LEP03297;0;20;;;;2.059;0.00582;0.1145;5.29;;;;166.01;48.85;514.36;35.51;24.32;5.3;1.22;2641.91;156.62;;;;;;
2849;17CET0042;;;;;275.162;3.144;0.01808;0.2616;5.29;;;6.39;52.53;13.97;452.99;77.55;3.66;3.62;0.98;1624.57;237.01;;;;;16.7601;14.4545
2854;17CET0047;;;;;319.115;4.13;0.03108;0.3139;5.29;;;6.28;49.2;19.14;647.61;114.16;4.88;5.85;1.31;1712.33;254.68;;;;;15.913;20.1822
126;05LEP00232;0;20;;;;2.167;0.037473;0.16967;5.3;;;;18.53;109.18;1823.89;164.27;52.1;1.39;2.3;946.48;259.99;;;;;;
225;01LEP00586;0;30;2.2;;;1.608;0.00646;0.1171;5.3;5.4;;6.95;36.62;70.2;506;21;;;;1955.64;;;;;;;
360;01LEP00669;30;60;;;;;;;5.3;6.58;;;;;;;;;;;;;;;;;
612;11JG00009;0;20;;;;2.844;0.04388;0.1863;5.3;5.24;;6.73;47.89;97.96;1718.97;203.46;91.06;3.67;1.13;870.88;197.43;15.63;15.74;17.47;;50.82;
614;11JG00012;0;20;;;;2.317;0.03844;0.1574;5.3;5.01;;6.4;37.79;207.98;2440.85;623.56;52.74;1.82;3.22;941.41;263.87;20.706;24.33;27.83;;9.81;
705;11JG00183;0;20;;;;2.778;0.051;0.21;5.3;5.15;;6.6;75.78;161.16;2910.33;486.5;31.77;2.03;2.56;930.82;324.35;25.792;30.02;27.12;;205.05;
833;14LEP00089;0;20;;;;3.45;0.06888;0.1842;5.3;5.11;;6.34;64.7;38.21;939.4;93.13;22.34;8.48;3.21;1747.13;160.6;8.569;19.37;16.01;;;
1057;14LEP01126;0;20;;;;2.567;0.0196;0.1933;5.3;;;;189.21;59.26;785.44;40.54;14.41;8.89;1.38;2050.14;155.76;;;;27.742;;
1333;14LEP02127;0;20;;;;2.553;0.02624;0.218;5.3;;;;62.97;256.03;1321.08;70.68;26.28;3.51;1.84;1426.88;380.56;;;;68.1278;;
1393;14LEP02193;0;20;;;;2.934;0.01953;0.2029;5.3;;;;71.5;19.4;639.62;53.61;17.21;5.41;0.67;1876.71;103.4;;;;18.0583;;
1561;14LEP02361;0;20;;;;2.086;0.01369;0.1479;5.3;;;;46;41;326.43;29.94;11.9;2.27;1.32;2071.34;90.18;;;;4.3518;;
1569;14LEP02369;0;20;;;;1.88;0.00653;0.1528;5.3;;;;0.48;35.26;239.72;12.63;4.31;0.53;0.24;1935.04;41.97;;;;9.4576;;
2461;14LEP03061;0;20;;;;1.744;0.00479;0.1283;5.3;;;;329.54;70.16;655.83;76.81;13.2;8.42;13.69;1692.27;192.77;;;;;;
2539;14LEP03139;0;20;;;;2.37;0.01085;0.1493;5.3;;;;112.46;39.31;778.38;37.43;15.65;7.38;0.85;1922.43;183.08;;;;;;
2605;14LEP03205;0;20;;;;2.356;0.01064;0.1347;5.3;;;;202.14;46.37;651.18;40.34;21.7;9.73;1.73;2077.68;163.64;;;;;;
2695;14LEP03295;0;20;;;;1.755;0.00223;0.1023;5.3;;;;168.15;47.89;544.84;28.62;22.72;4.79;0.84;2188.08;123.31;;;;;;
2747;14LEP03347;0;20;;;;2.179;0.01037;0.1485;5.3;;;;31.66;65.63;451.1;36.63;9.16;2.47;1.37;2364.28;96.38;;;;;;
70;02LEP00502;0;20;;;;2.453;0.02595;0.2018;5.31;;;6.5;77.05;51.96;326;50.17;6.08;129.5;30.02;1542.65;93.39;22.75;;;;;
213;01LEP00562;0;30;2.13;;;1.564;0.00888;0.1029;5.31;5.23;;6.83;119.3;47.4;844;79;;;;1456.56;;0.99;;;;;
301;01LEP00551;30;60;;;;;;;5.31;5.71;;;27.38;26.4;600;22;;;;2230;;;;;;;
670;11JG00147;0;20;;;;3.2;0.04748;0.2468;5.31;4.99;;6.56;279.8;470.13;1402.93;133.24;53.42;7.38;8.27;1041.78;377.11;15.372;;17.79;;33.99;
998;14LEP01067;0;20;;;;1.73;0.01394;0.1308;5.31;;;;194.38;57.23;583.59;46.83;8.7;5.4;1.81;1767.93;111.96;;;;9.528;;
1096;14LEP01165;0;20;;;;2.016;0.0207;0.1829;5.31;;;;82.89;54.18;651.01;49.8;12.69;4.38;0.67;2024.61;126.27;;;;45.162;;
1116;14LEP01186;0;20;;;;2.257;0.01818;0.1956;5.31;;;;13.56;72.92;388.29;41.25;6.71;0.14;0.89;1992.87;83.17;;;;44.893;;
1144;14LEP01214;0;20;;;;4.336;0.06031;0.3393;5.31;;;;279.92;95.74;2447.32;161.38;25.97;13.22;5.75;1499.33;294.63;;;;;;
1165;14LEP01235;0;20;;;;5.008;0.08058;0.3805;5.31;;;;356.45;182.27;2654.44;261.44;27.56;4.09;7.64;1347.62;304.63;;;;;;
1211;14LEP02005;0;20;;;;1.607;0.01382;0.1252;5.31;;;;182.86;39.7;418.9;66.22;9.81;5.75;1.19;1851.52;113.21;;;;21.2578;;
1243;14LEP02037;0;20;;;;2.817;0.01809;0.1833;5.31;;;;167.17;111.22;567.66;89.64;15.61;4.87;0.99;2582.49;179.82;;;;57.0109;;
1357;14LEP02151;0;20;;;;2.356;0.01672;0.1741;5.31;;;;244.41;100.09;894.17;63.8;11.25;10.27;6.47;2265.51;180.97;;;;27.7737;;
1577;14LEP02377;0;20;;;;2.015;0.00785;0.1644;5.31;;;;165.82;48.63;502.63;46.7;16.51;4.07;1.64;1972.76;98.02;;;;15.7885;;
2252;1JGF00045;0;20;;;;3.948;0.02165;0.2101;5.31;;;;118.5;117.95;775.36;76.41;4.16;2.92;0.73;718.52;74.72;;;;53.9163;;
2254;1JGF00047;0;20;;;;3.193;0.02038;0.2311;5.31;;;;61.6;131.45;823.84;61.14;3.66;1.92;0.81;484.14;128.67;;;;42.9442;;
2465;14LEP03065;0;20;;;;1.278;0.00097;0.08368;5.31;;;;292.36;89.72;610.07;68.67;15.94;8.69;9.18;1910.56;163.29;;;;;;
2516;14LEP03116;0;20;;;;3.367;0.01737;0.1703;5.31;;;;110.75;139.24;699.79;82.74;13.81;4.34;0.61;2071.9;165.43;;;;;;
2709;14LEP03309;0;20;;;;1.413;0.00335;0.06507;5.31;;;;167.19;55.01;664.79;28.76;20.59;7.13;1.39;2082.25;130.47;;;;;;
673;11JG00150;0;20;;;;2.142;0.03594;0.1192;5.32;4.96;;6.86;27.87;72.46;1653.77;204.24;37.89;1.01;1.51;807.76;287.13;12.173;;15.92;;35.08;
677;11JG00154;0;20;;;;2.259;0.03666;0.1182;5.32;5.11;;6.79;147.96;162.1;748.88;43.79;15.59;3.88;2.15;1088.58;136.8;7.406;;10.91;;37.3;
702;11JG00180;0;20;;;;2.201;0.03947;0.1365;5.32;5.13;;6.73;168.17;261.98;1817.26;150.7;42.41;1.09;1.61;1093.84;346.73;17.863;20.01;17.94;;222.32;
724;11JG00202;0;20;;;;2.353;0.03326;0.222;5.32;4.87;;7.1;160.05;248.89;1818.63;157.06;23.23;1.75;1.94;1044.78;279.16;15.1;21.24;14.64;;21.82;
794;14LEP00046;0;20;;;;2.48;0.08701;0.2106;5.32;4.89;;6.66;38.22;143.97;1176.04;65.68;22.9;4.64;4.63;1193.09;290.2;10.626;17;14.36;;;
840;14LEP00096;0;20;;;;2.46;0.033633;0.10802;5.32;5.14;;6.46;112.3;45.63;687.08;24.43;15.67;11.2;2.75;1465.37;135.46;6.83;15.76;13.12;;;
997;14LEP01066;0;20;;;;2.746;0.02428;0.1837;5.32;;;;241.13;84.56;1002.15;69.12;10.78;9.14;5.87;1943.79;193.92;;;;19.586;;
1313;14LEP02107;0;20;;;;2.203;0.02029;0.204;5.32;;;;70.99;111.02;935.86;49.86;22.03;2.44;2.17;1165.98;308.62;;;;33.104;;
1399;14LEP02199;0;20;;;;2.454;0.02105;0.1662;5.32;;;;72.84;30.54;718.37;68.03;15.11;5.8;0.82;2092.33;104.93;;;;33.7663;;
1429;14LEP02229;0;20;;;;2.238;0.0095;0.1243;5.32;;;;203.28;35.86;562.32;31.67;15.84;8.22;1.71;1854.46;128.52;;;;15.045;;
1481;14LEP02281;0;20;;;;2.609;0.01907;0.2032;5.32;;;;361.21;33.59;833.47;28.58;15.59;14.39;1.62;1581.74;214.99;;;;25.1219;;
2537;14LEP03137;0;20;;;;2.621;0.01439;0.1839;5.32;;;;208.29;92.68;980.13;83.88;13.7;10.91;5.85;1956.29;178.69;;;;;;
2839;17CET0032;;;;;325.177;3.728;0.02391;0.2699;5.32;;;6.29;45.13;20.98;805.99;136.14;5.14;5.5;1.33;1979.59;242.29;;;;;26.2008;16.8986
2855;17CET0048;;;;;296.381;3.633;0.02471;0.2873;5.32;;;6.62;49.2;18.31;550.06;103.12;3.49;5.88;1.01;1634.46;230.33;;;;;15.003;18.4472
807;14LEP00063;0;20;;;;3.128;0.06761;0.1902;5.33;5.12;;6.44;224.51;51.81;1046.28;59.72;14.68;11.4;7.8;1606.57;197.04;6.571;19.06;15.4;;;
910;14LEP00174;0;20;;;;2.445;0.03288;0.1218;5.33;4.85;;6.54;43.14;28.35;507.52;38.08;12.28;4.79;3.52;1883.47;118.31;5.468;13.33;11.57;;;
1167;14LEP01237;0;20;;;;4.294;0.05728;0.3451;5.33;;;;396.58;142.73;2885.36;256.17;36.33;1.35;6.49;1374.55;351;;;;;;
1473;14LEP02273;0;20;;;;2.154;0.01464;0.1588;5.33;;;;221.3;40.73;641.57;35.91;14.7;7.56;1.7;1714.78;191.18;;;;18.8458;;
1589;14LEP02389;0;20;;;;1.904;0.00963;0.1596;5.33;;;;107.29;83.6;636.77;40.58;11.34;5.11;1.75;1917.35;80.73;;;;72.5737;;
2236;1JGF00029;0;20;;;;2.701;0.00627;0.1753;5.33;;;;103.41;131.69;649.45;76.01;6.04;2.4;0.63;844.19;200.92;;;;44.5833;;
2453;14LEP03053;0;20;;;;2.331;0.01402;0.1846;5.33;;;;249.82;76.03;811.67;101.29;16.04;13.07;18.61;1941.8;214.9;;;;;;
2653;14LEP03253;0;20;;;;2.257;0.01385;0.129;5.33;;;;220.73;56.81;633.05;39.46;17.83;8.03;1.91;1794.05;182.93;;;;;;
2769;14LEP03369;0;20;;;;2.088;0.00703;0.1462;5.33;;;;171.41;49.12;686.02;34.96;13.37;5.56;1.54;2079.94;131.79;;;;;;
333;01LEP00615;30;60;;;;;;;5.34;5.75;;;32.41;87;386;24;;;;2295;;;;;;;
842;14LEP00102;0;20;;;;2.677;0.03617;0.2181;5.34;5.31;;6.56;200.06;67.06;847.56;54.42;25.05;11.72;4.68;1632.65;173.14;8.783;16.66;13.32;;;
987;14LEP01056;0;20;;;;2.489;0.02767;0.2017;5.34;;;;404.47;284.32;956.98;102.45;17.73;9.28;6.36;2021.73;228.82;;;;;;
1058;14LEP01127;0;20;;;;2.476;0.02065;0.1912;5.34;;;;243.82;55.79;859.89;46.54;18.42;9.36;1.64;1906.98;170.77;;;;30.523;;
1229;14LEP02023;0;20;;;;2.244;0.01627;0.1523;5.34;;;;190.92;51.4;581.91;105.86;13.47;8.77;1.09;2282.12;151.59;;;;17.8619;;
1359;14LEP02153;0;20;;;;1.564;0.00349;0.1256;5.34;;;;168.61;56.87;577.34;36.08;8.73;5.73;2.27;2095.8;93.57;;;;14.4941;;
2455;14LEP03055;0;20;;;;2.054;0.00831;0.1557;5.34;;;;360.72;85.25;811.16;91.2;15.78;13.6;15.36;1924.88;243.6;;;;;;
2511;14LEP03111;0;20;;;;1.952;0.00574;0.1316;5.34;;;;361.33;69.16;619.33;65.77;14.21;9.51;14.61;1873.26;216.16;;;;;;
2565;14LEP03165;0;20;;;;2.255;0.00912;0.131;5.34;;;;96.22;24.77;748.23;51.25;22.31;5.73;0.37;2078.38;125.91;;;;;;
2853;17CET0046;;;;;340.333;4.098;0.03126;0.3153;5.34;;;6.46;49.44;13.65;655.92;108.45;3.83;6.5;1.21;1653.39;211.15;;;;;22.8137;14.8863
2861;17CET0054;;;;;337.302;3.758;0.02739;0.2802;5.34;;;6.68;59.9;13.79;739.69;127.22;4.83;5.31;1.24;1666.95;224.85;;;;;23.1706;20.996
18;02LEP00224;0;20;3.9;;;;;;5.35;;;6.28;45.12;;;;;;;1760.53;;;;;;;
364;01LEP00677;30;60;;;;;;;5.35;6.77;;;;;;;;;;;;;;;;;
570;10LEP00120;0;20;;;;2.822;;;5.35;;;;74.37;;;;;;;1384.59;194.36;;;;;;
690;11JG00167;0;20;;;;3.675;0.05926;0.2368;5.35;5.41;;6.58;39.93;111.7;2350.14;368.22;44.54;2.41;9.42;1024.57;328.92;19.993;20.11;23.39;;153.68;
795;14LEP00047;0;20;;;;2.625;0.08799;0.2091;5.35;4.85;;6.67;42.4;157.77;1140.67;63.45;22.27;4.46;4.51;1139.46;288.84;9.53;17.24;14.11;;;
923;14LEP00187;0;20;;;;2.748;0.03608;0.1321;5.35;4.98;;6.66;120;80.21;770.12;54.63;13.63;9.23;4.67;1929.86;137.62;6.243;15.31;12.07;;;
961;14LEP01030;0;20;;;;2.4;0.02921;0.1803;5.35;;;;336.82;110.43;839.62;93.01;12.53;10.62;19.19;1929.83;201.76;;;;37.416;;
993;14LEP01062;0;20;;;;3.014;0.02708;0.1999;5.35;;;;297.14;102.71;1110.02;88.2;12.53;8.59;4.59;2026.23;187.27;;;;28.787;;
1014;14LEP01083;0;20;;;;2.841;0.02362;0.2022;5.35;;;;83.2;60.21;898.98;81.62;17.92;3.98;0;2161.59;117.5;;;;37.8;;
1098;14LEP01167;0;20;;;;2.142;0.01824;0.193;5.35;;;;58.51;58.32;551.9;53.78;11.48;2.17;1.23;1878.13;102.14;;;;49.779;;
1129;14LEP01199;0;20;;;;1.813;0.00748;0.1575;5.35;;;;109.32;55.85;586.12;41.6;10.42;2.51;1.23;1768.29;108.64;;;;28.013;;
1549;14LEP02349;0;20;;;;1.655;0.00632;0.09;5.35;;;;43.4;39.67;540.6;34.69;9.67;2.01;0.77;1676.3;67.7;;;;6.3674;;
1555;14LEP02355;0;20;;;;2.158;0.01834;0.1707;5.35;;;;43.7;36.59;661.98;26.67;9.45;2.34;0.71;2225.75;74.37;6.87;;;8.0338;;
2297;1JGF00090;0;20;;;;5.572;0.02446;0.2523;5.35;;;;253.93;130.84;1508.75;154.82;6.63;6.02;0.86;1945.74;206.44;;;;78.7448;;
2705;14LEP03305;0;20;;;;2.234;0.0083;0.1286;5.35;;;;234.9;64.57;648;60.67;27;7.84;1.98;2088.26;158.76;;;;;;
16;02LEP00220;0;20;3.9;;;2.919;0.04105;0.202;5.36;;;6.57;17.44;82.04;1264.97;160.75;;;;1384.7;268.29;;;;;;
194;01LEP00522;0;30;2.2;;;1.324;-0.00255;0.08476;5.36;5.42;;6.99;183.3;315.9;2048;155.3;;;;1409.43;;11.94;;;;;
239;01LEP00614;0;30;3.03;;;2.603;0.01305;0.1318;5.36;5.63;;6.61;45.5;87;888;74;;;;1768.02;;;;;;;
343;01LEP00635;30;60;;;;;;;5.36;6.62;;;;;;;;;;;;;;;;;
777;14LEP00029;0;20;;;;1.64;0.06318;0.1258;5.36;4.98;;6.67;228.14;97.72;525.76;83.85;11.17;9.71;10.72;1411.95;148.06;6.496;;11.05;;;
793;14LEP00045;0;20;;;;2.408;0.07558;0.2064;5.36;5.36;;6.9;50.25;151.86;1087.31;56.1;23.44;4.5;4.36;1085.29;285.93;8.735;16.29;11.69;;;
858;14LEP00118;0;20;;;;2.574;0.04512;0.07825;5.36;5.13;;6.4;185.2;29.06;762.04;54.56;16.88;9.81;4.64;1604.21;184.13;7.295;16.74;14.24;;;
898;14LEP00162;0;20;;;;3.056;0.03876;0.1411;5.36;4.91;;6.54;62.41;80.42;715.23;57.5;10.6;6.79;3.47;2208.94;102.48;8.118;15.06;12.9;;;
1034;14LEP01103;0;20;;;;2.454;0.02658;0.1753;5.36;;;;184.9;51.58;703.6;55.49;18.96;6.83;1.62;1926.71;141.05;;;;20.582;;
1076;14LEP01145;0;20;;;;2.643;0.02635;0.2383;5.36;;;;136.25;84.14;731.17;94.03;11.94;1.23;2.01;1789.72;136.72;;;;;;
1315;14LEP02109;0;20;;;;2.173;0.01773;0.195;5.36;;;;66.04;81.32;970.8;53.84;19.6;2.16;2.07;1137.83;287.39;;;;36.8368;;
1427;14LEP02227;0;20;;;;2.185;0.01031;0.1681;5.36;;;;182.05;23.78;557.33;39.04;13.35;7.1;1.73;1865.28;129.77;;;;21.2214;;
1776;16LEP00004;;;3.8;;;2.42;;;5.36;;;6.53;;149.2;2129.1;175.2;;;;977.5;;14.454;;;;;
2296;1JGF00089;0;20;;;;2.113;0.00635;0.1288;5.36;;;;115.85;127.55;697.04;67.31;5.47;2.68;0.55;1590.82;192.38;;;;30.217;;
2441;14LEP03041;0;20;;;;1.844;0.00344;0.09365;5.36;;;;108.29;115.49;604.3;92.56;21.19;4.08;0.75;2187.15;173.03;;;;;;
2561;14LEP03161;0;20;;;;2.527;0.01592;0.1493;5.36;;;;99.57;42.73;762.15;60.79;25.9;6.94;0.72;2096.75;130.01;;;;;;
