IDEN;IDEN_2;DepthLow_cm;DepthHigh_cm;OM_WB_perc;OM_LOI_perc;C_active_perc;C_perc;S_perc;N_perc;pHCaCl2;pHWater;pHKCl;pHSMP;P_M3_mgPkg;K_M3_mgPkg;Ca_M3_mgPkg;Mg_M3_mgPkg;Mn_M3_mgPkg;Zn_M3_mgPkg;Cu_M3_mgPkg;Al_M3_mgPkg;Fe_M3_mgPkg;CEC_NH4OAc_meqP100g;CEC_bases_meqP100g;CEC_pHSMP;NO3Wet_mgPkg;NO3_mgPkg;NH4_mgPkg
407;01LEP00113;15;30;7.29;;;;;;3.37;3.92;;4.2;9.16;125.1;254;73;121;;;1876;1937;;;;;;
407;01LEP00113;15;30;7.29;;;;;;3.37;3.92;;4.2;9.16;125.1;254;73;121;;;1876;1937;;;;;;
466;01LEP00114;30;60;;;;;;;3.4;;;;120;106.2;277;108;;;;1922;;;;;;;
518;05LEP00350;0;20;3.6;;;1.961;0.03033;0.1741;3.6;;;;;;;;;;;;;;;;;;
399;01LEP00089;15;30;1.03;;;1.078;-0.00444;0.0439;3.73;;;;6.82;8.9;113;9;;;;559;;;;;;;
444;01LEP00045;30;60;;;;;;;3.74;;;;310;177.9;1299;322;;;;1030;;;;;;;
445;01LEP00048;30;60;;;;;;;3.74;;;;940;100.8;384;143;;;;1578;;;;;;;
449;01LEP00063;30;60;;;;;;;3.78;;;;150;15.8;148;11;;;;2648;;;;;;;
385;01LEP00044;15;30;4.88;;;3.486;0.0253;0.3078;3.81;;;;5.3;106.2;347;97;;;;1812;;;;;;;
386;01LEP00047;15;30;5.09;;;3.486;0.0253;0.3078;3.81;;;;5.02;108;369;105;;;;1877;;;;;;;
441;01LEP00036;30;60;;;;;;;3.81;;;;1490;61.9;1484;190;;;;1275;;;;;;;
442;01LEP00039;30;60;;;;;;;3.81;;;;260;88.8;110;25;;;;2225;;;;;;;
483;01LEP00165;30;60;;;;;;;3.81;;;;880;41.3;98;22;;;;2048;;;;;;;
371;01LEP00002;15;30;3.99;;;2.796;0.00271;0.1308;3.85;;;;9.76;110.9;162;25;;;;2144;;;;;;;
561;10LEP00111;0;20;;;;0.899;;;3.87;;;;37.6;;;;;;;988.86;223.32;;;;;;
563;10LEP00113;0;20;;;;2.427;;;3.89;;;;44.66;;;;;;;1290.37;84.33;;;;;;
389;01LEP00059;15;30;10.66;;;;;;3.9;;;;5.64;31.9;207;15;;;;2523;;;;;;;
390;01LEP00062;15;30;10.66;;;;;;3.9;;;;5.64;31.9;207;15;;;;2523;;;;;;;
392;01LEP00068;15;30;10.66;;;;;;3.9;;;;5.64;31.9;207;15;;;;2523;;;;;;;
400;01LEP00092;15;30;1.1;;;1.371;-0.00481;0.0469;3.9;;;;15.63;20.8;176;12;;;;2097;;;;;;;
390;01LEP00062;15;30;10.66;;;;;;3.9;4.32;;4.6;5.64;31.9;207;15;14;;;2523;2157;;;;;;
390;01LEP00062;15;30;10.66;;;;;;3.9;4.32;;4.6;5.64;31.9;207;15;14;;;2523;2157;;;;;;
432;01LEP00009;30;60;;;;;;;3.94;;;;;;;;;;;;;;;;;;
431;01LEP00003;30;60;;;;;;;3.96;;;;180;109.9;217;23;;;;2559;;;;;;;
436;01LEP00021;30;60;;;;;;;4.01;;;;500;78.4;1563;205;;;;1359;;;;;;;
473;01LEP00135;30;60;;;;;;;4.01;;;;650;18.8;73;8;;;;2850;;;;;;;
373;01LEP00008;15;30;3.23;;;2.434;0.02078;0.1545;4.02;;;;2.48;100.5;169;18;;;;2031;;;;;;;
375;01LEP00014;15;30;5.43;;;3.904;0.0271;0.3104;4.03;;;;12.41;190.7;655;74;;;;1754;;;;;;;
424;01LEP00164;15;30;2.82;;;1.978;0.00678;0.1658;4.03;;;;11.34;65.6;206;36;;;;1787;;;;;;;
