IDEN,Prediction,SAND,SAND_IR,SEP,SD,RPD,RER
68.1,Set2_ilr,63.8299041272629,68.2869493237234,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
387,Set2_ilr,14.8712723990894,22.252226223284,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
615,Set2_ilr,2.21609962638618,2.95871651204115,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
626,Set2_ilr,0.999999999999998,2.48413248484246,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
676,Set2_ilr,15.7763398907998,16.2338821608707,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
682,Set2_ilr,5.46004298428782,5.40591783563019,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
687,Set2_ilr,10.8419029056622,10.3113670588185,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
2233,Set2_ilr,77.4738670482788,63.7998134893705,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
2257,Set2_ilr,29.6555484685607,33.5756099298939,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
2265,Set2_ilr,59.5694486876802,56.7471551162365,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
2284,Set2_ilr,81.1410063919725,72.1996709673457,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
2350,Set2_ilr,75.9218257891025,56.6025387367504,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
29,Set2_ilr,37.3389783148261,44.4838091287697,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
32,Set2_ilr,77.1810714897974,60.2463025927789,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
50,Set2_ilr,20.6251732279859,19.6626163953502,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
53,Set2_ilr,81.6503129525597,73.5011899969564,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
99,Set2_ilr,79.9187049851686,80.1616288197705,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
102,Set2_ilr,81.9987143414468,82.4056473897496,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
126,Set2_ilr,38.9900061925504,38.4926712665731,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
129,Set2_ilr,52.9819366749557,58.7824978701631,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
252,Set2_ilr,67.5638354896716,61.8511692436977,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
255,Set2_ilr,24.8168320509371,27.7015312573169,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
258,Set2_ilr,77.8002576319247,82.1555644460912,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
270,Set2_ilr,87.4188007721557,88.3366989927126,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
273,Set2_ilr,80.0150083299417,81.4437424839371,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
288,Set2_ilr,47.1535626069814,51.7619177374478,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
297,Set2_ilr,89.6782789689972,89.7206809592926,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
312,Set2_ilr,89.7034786085648,87.0731330906592,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
317,Set2_ilr,94.2720494498651,76.5970459450367,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
332,Set2_ilr,92.2941313987753,89.5095649121014,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
335,Set2_ilr,85.727239378668,83.1401332196933,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
338,Set2_ilr,38.1825019773014,43.4307951433194,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
341,Set2_ilr,42.4495645919554,42.4479024158612,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
352,Set2_ilr,80.6972367697084,81.7656372954468,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
358,Set2_ilr,88.2009267530034,86.4461347620612,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
487,Set2_ilr,78.8563266442511,79.8484434728925,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
501,Set2_ilr,41.3525395827373,40.5694277056335,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
507,Set2_ilr,20.0356902615512,22.7936173970924,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
538,Set2_ilr,72.7381050705558,74.7457533576105,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
550,Set2_ilr,0.999999999999993,4.18873699463856,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
596,Set2_ilr,83.9043350719545,87.1465344176268,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
612,Set2_ilr,34.3611903553388,40.909873055233,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
622,Set2_ilr,0.975953338063519,7.692966306902,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
633,Set2_ilr,3.69957431407353,4.96402762498453,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
639,Set2_ilr,47.9641171817204,10.7047820224109,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
645,Set2_ilr,38.2784955582371,23.3411267811775,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
656,Set2_ilr,1,28.4572943882072,1.55449925816069,28.2545326760758,18.1759705112417,61.9488226884964
