IDEN,Prediction,SILT,SILT_IR,SEP,SD,RPD,RER
1155,Set3_2-point_ilr,22.7965724237237,22.4043704973869,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1175,Set3_2-point_ilr,9.56254979675102,12.8569889663939,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1207,Set3_2-point_ilr,5.33356881149074,8.00178629347147,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1211,Set3_2-point_ilr,8.37543391415265,13.5927823823924,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1215,Set3_2-point_ilr,56.295944435628,15.098755341287,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1281,Set3_2-point_ilr,14.8390517705657,8.79197717913788,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1307,Set3_2-point_ilr,45.7227381216249,42.9421162096716,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1345,Set3_2-point_ilr,3.58467472362112,4.75029673994753,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1369,Set3_2-point_ilr,9.93048037921418,15.2322274130792,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1749,Set3_2-point_ilr,9.60366677249467,43.2018037709552,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1774,Set3_2-point_ilr,28.9756237578532,40.061345694166,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1776,Set3_2-point_ilr,47.2601374370411,39.5118835383248,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1799,Set3_2-point_ilr,67.2679427098752,48.127901688612,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1800,Set3_2-point_ilr,34.2897327287107,23.963720413346,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
1954,Set3_2-point_ilr,17.8427873383353,27.908568030691,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
2218,Set3_2-point_ilr,15.984798974812,17.3744497307079,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
2219,Set3_2-point_ilr,13.3632101799129,21.6325045822688,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
2247,Set3_2-point_ilr,16.9989550773787,15.9804305317939,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
2269,Set3_2-point_ilr,14.1217806961727,9.78830095750688,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
2283,Set3_2-point_ilr,10.3791191341869,11.6232244369241,2.33283311216989,16.2411830280835,6.96199952896622,39.8675945831501
