IDEN,Prediction,CLAY,CLAY_IR,SEP,SD,RPD,RER
3944,Set2_ilr,3.20555801775505,4.50734813998278,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
3953,Set2_ilr,5.03443444473489,5.9278510304556,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
3962,Set2_ilr,12.8309963225943,11.6244104600925,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
189,Set2_ilr,1.17225,0.49128850481048,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
224,Set2_ilr,0.066827,0.723009202508774,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
229,Set2_ilr,0.50772,0.373496942013378,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
1636,Set2_ilr,0.773142,1.01517191052823,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
1724,Set2_ilr,0.09255,0.16336058644681,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
44,Set2_ilr,0.097331,0.175609222440655,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
174,Set2_ilr,8.210099,1.1063914103162,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
2364,Set2_ilr,0.067311,0.0831239416661418,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
2257,Set2_ilr,0.387659,1.41930601943477,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
1555,Set2_ilr,0.05902,0.103888530038084,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
2805,Set2_ilr,0.104405,0.629392598404269,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
1774,Set2_ilr,0.809308,0.955589128151948,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
1789,Set2_ilr,1.927765,1.76469836661586,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
1797,Set2_ilr,1.880286,3.08403082465317,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
253,Set2_ilr,0,3.59473133499455,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
824,Set2_ilr,0.133672,0.440666663792808,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
758,Set2_ilr,0.556584,0.47687151618217,0.805296807759727,13.7279583972519,17.0470791203581,95.9341373780536
529,Set7_All features,38.7504311152342,36.9774203458743,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
824,Set7_All features,7.19503034420149,7.33038522708112,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
845,Set7_All features,5.58852610393006,5.9253815614899,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
24,Set7_All features,23.0317372624067,22.9219743141033,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
28,Set7_All features,26.1652260878028,15.0595447949789,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
52,Set7_All features,3.62683966956827,13.0528392177915,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
53,Set7_All features,6.36356119428519,24.5704796430324,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
59,Set7_All features,21.2324001318855,21.9159981773917,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
60,Set7_All features,9.30102909720492,9.56240372821927,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
62,Set7_All features,50.2377639143678,46.7584375864391,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
104,Set7_All features,7.99548209686666,8.165321740435,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
491,Set7_All features,6.81542160615015,6.70809608640357,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
492,Set7_All features,17.4060829079844,17.7342018121534,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
591,Set7_All features,12.7500015280294,12.8555906010196,0.505437061451359,15.4510137296696,30.5696097656593,152.848812399888
