IDEN,Prediction,CLAY,CLAY_IR,SEP,SD,RPD,RER
68.1,Set2_ilr,16.8007867911069,15.3729085781009,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
387,Set2_ilr,30.256548562837,24.4224203926015,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
615,Set2_ilr,54.5747988346587,50.5603708263579,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
626,Set2_ilr,13.9443195902197,24.2723903251407,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
676,Set2_ilr,58.5063459831358,47.3300479734612,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
682,Set2_ilr,66.8467943971714,62.7413798000028,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
687,Set2_ilr,45.1224707934812,44.2941316233274,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
2233,Set2_ilr,6.98901172659989,8.13339709727165,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
2257,Set2_ilr,15.7547260676246,14.8547946373368,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
2265,Set2_ilr,13.3677757535289,9.9746040663044,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
2284,Set2_ilr,7.98228278898095,8.13878040332101,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
2350,Set2_ilr,11.2580168101481,18.4960716847569,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
29,Set2_ilr,25.0090081297326,27.541260475846,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
32,Set2_ilr,10.5853740740853,22.119838705117,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
50,Set2_ilr,45.8604365137028,41.036911584482,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
53,Set2_ilr,6.36356119428519,5.79765093559432,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
99,Set2_ilr,7.74484228953908,10.1009322688027,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
102,Set2_ilr,7.53284961378058,8.62863977061894,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
126,Set2_ilr,24.7567720010216,30.1556997428295,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
129,Set2_ilr,16.8499950865684,20.8600589991929,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
252,Set2_ilr,9.92868456319029,14.0478948616056,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
255,Set2_ilr,19.1749969090869,17.9466592842699,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
258,Set2_ilr,6.34424125506629,7.07601882858333,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
270,Set2_ilr,3.58939326455761,5.29207404726968,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
273,Set2_ilr,7.38379582825279,6.50521821134983,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
288,Set2_ilr,20.1516784670369,20.2320527331877,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
297,Set2_ilr,2.73017613860355,3.34691937813858,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
312,Set2_ilr,4.7694393949384,6.42736458920162,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
317,Set2_ilr,2.38498781025097,6.14150897141223,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
332,Set2_ilr,3.53110968177795,3.77946749685424,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
335,Set2_ilr,5.29502236152421,5.45739549361595,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
338,Set2_ilr,3.91489560723982,5.78773479601379,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
341,Set2_ilr,20.3323892448278,27.9616541262401,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
352,Set2_ilr,3.8628103275134,6.22886100059259,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
358,Set2_ilr,7.08443283681505,7.76041263100314,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
487,Set2_ilr,5.41158032473971,6.33114833235765,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
501,Set2_ilr,24.3974699465053,20.8993409523609,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
507,Set2_ilr,35.4403066484624,29.2272576820156,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
538,Set2_ilr,10.6385374459022,7.88515273700365,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
550,Set2_ilr,25.6282622782956,14.8211746757472,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
596,Set2_ilr,7.94688441966522,5.74551721025115,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
612,Set2_ilr,25.4466402383489,31.8027007605878,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
622,Set2_ilr,51.9477056298098,46.0387748163157,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
633,Set2_ilr,51.5111378019077,52.7651342729984,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
639,Set2_ilr,16.3510081189384,47.6380597746604,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
645,Set2_ilr,33.3982310284779,56.2724927405754,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
656,Set2_ilr,50.9954999316715,37.9121840768278,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
668,Set2_ilr,31.3382146366149,34.8738379081041,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
683,Set2_ilr,32.0480403516116,31.4192554195536,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
689,Set2_ilr,51.2150243883594,31.2585984293231,0.860538587046608,13.7279583972519,15.9527516881801,89.7757006468153
