IDEN,Prediction,C_perc,C_IR,SEP,SD,RPD,RER
68.1,Set2_ilr,10.81,9.26101321166564,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
387,Set2_ilr,2.486,2.94563125481684,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
615,Set2_ilr,3.183,3.2877333540465,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
626,Set2_ilr,11.33,6.2090529152734,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
676,Set2_ilr,3.701,3.8493387366532,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
682,Set2_ilr,3.133,3.2572628712449,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
687,Set2_ilr,3.557,3.53799938747971,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
2233,Set2_ilr,4.143,4.52823651690533,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
2257,Set2_ilr,6.177,6.40976561732974,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
2265,Set2_ilr,5.356,4.7044381332306,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
2284,Set2_ilr,6.24,6.21931843791885,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
2350,Set2_ilr,1.28,2.91771609661502,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
29,Set2_ilr,2.347,2.41676991821661,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
32,Set2_ilr,4.191,4.82329719807156,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
50,Set2_ilr,1.897,1.85214390284128,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
53,Set2_ilr,3.57,2.63183085968414,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
99,Set2_ilr,2.9737,3.08359716146139,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
102,Set2_ilr,2.5873,2.66132243224927,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
126,Set2_ilr,2.167,2.11465687288895,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
129,Set2_ilr,1.9617,2.64812673488232,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
252,Set2_ilr,1.678,1.6598083351851,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
255,Set2_ilr,1.812,1.84601651544376,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
258,Set2_ilr,2.6244,2.40293052568125,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
270,Set2_ilr,1.19,1.35870829854574,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
273,Set2_ilr,1.95,1.99784017542507,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
288,Set2_ilr,1.0712,1.29066432329027,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
297,Set2_ilr,0.75557,0.879470101210027,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
312,Set2_ilr,1.152,1.85286991526025,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
317,Set2_ilr,0.52552,0.91328359915308,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
332,Set2_ilr,1.1944,1.3720907823148,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
335,Set2_ilr,1.2941,1.59898874828384,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
338,Set2_ilr,0.56304,0.735360790445257,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
341,Set2_ilr,0.43938,0.567151943361714,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
352,Set2_ilr,0.95789,1.35943757843678,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
358,Set2_ilr,0.78578,1.04282033121828,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
487,Set2_ilr,2.3997,2.36591943882024,0.118939780092089,1.59254733536384,13.3895264824839,104.576534363605
