IDEN,Prediction,SILT,SILT_IR,SEP,SD,RPD,RER
68.1,Set2_ilr,19.3693090816302,22.9445399999079,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
387,Set2_ilr,54.8721790380736,52.3643959728462,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
615,Set2_ilr,43.2091015389551,46.512000600068,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
626,Set2_ilr,85.0556804097803,73.704195689615,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
676,Set2_ilr,25.7173141260644,36.4285118839552,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
682,Set2_ilr,27.6931626185408,31.2511480291295,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
687,Set2_ilr,44.0356263008566,46.2640060151056,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
2233,Set2_ilr,15.5371212251213,24.0480932948741,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
2257,Set2_ilr,54.5897254638147,52.4810308208073,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
2265,Set2_ilr,27.0627755587909,26.9096926777212,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
2284,Set2_ilr,10.8767108190465,14.7482732662198,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
2350,Set2_ilr,12.8201574007494,26.0748014014505,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
29,Set2_ilr,37.6520135554413,34.8248803374241,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
32,Set2_ilr,12.2335544361173,22.6737179182075,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
50,Set2_ilr,33.5143902583113,41.3457366629319,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
53,Set2_ilr,11.9861258531551,21.1247975904156,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
99,Set2_ilr,12.3364527252923,15.7743803121882,1.13845086985729,20.1712222312981,17.7181315113112,81.6938589170701
